Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
هش,اصمت !,Central,"المهمة: قرر ما إذا كانت العبارة التالية صحيحة أو خاطئة.
السؤال: كلمة 'هش' تستخدم بمعنى 'تحدث بصوت عالٍ'.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
هش بس,اسكت ولا كلمه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'هش بس' تعني 'تفضل بالحديث'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هطف,هطف وهو الهطفة الهطف شخص غبي جدآ ولا يعلم مايدور من حوله بمعني لا يعلم ساسه من راسه إمعه . وفي الغالب يكون شين وقوي عين يعني مايستحي لانه لا يعلم انه هطف,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'الهطف شخص يفهم كل ما يدور حوله' هي صحيحة.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
هطقه,الهطوق والهطقة هو الانسان الحساس والغبي الذي يتصرف بعدوانية في الوقت الخاطئ هطقة تستخدم للذكر والانثى,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'هطقه' تشير فقط للذكور.
الخيارات:
أ) صحيح
ب) خطأ",ب
هفتان,هفتان معناها الشعور بالاعياء والتعب وسرعة في ضربات القلب,Western,"المهمة: اقرأ العبارة التالية وحدد إذا كانت صحيحة أم خاطئة.
السؤال: كلمة 'هفتان' تشير إلى النشاط والحيوية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هقّه,ليس له شخصية ضعيف وجبان. منقاد ويتحكم فيه الجميع بسهولة، وعندما يتحكم فيه الناس لا يبدو عليه حتى الانزعاج أو التفكير فقط يستجيب بملامح باردة وكأنه في عالم آخر حيث لا تعابير واضحة عليه سوى أنه يقبل ويفعل. بمعنى آخر: ضعيف الشخصية وسهل الخداع والانقياد.,General,"المهمة: قم بتحديد صحة العبارة أدناه.
السؤال: العبارة 'هقّه' تعني شخص قوي وصاحب شخصية مستقلة.
الخيارات:
أ) صحيح
ب) خطأ",ب
هك عليه,أي كذب عليه,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'هك عليه' تعني أنه تحدث عنه بإيجابية.
الخيارات:
أ) صحيح
ب) خطأ",ب
هلا حقت المازوخي,هلا مرات يستخدومنها الناس عشان يثبت صفة سلبية على نفسه زي لما احد يناديك بلقب معين و تقول أنا هذا معناته انك راضي بالإسم,General,"المهمة: حدد صحة العبارة التالية.
السؤال: العبارة 'هلا حقت المازوخي' تستخدم للتعبير عن الغضب.
الخيارات:
أ) صحيح
ب) خطأ",ب
هَلاّس,وصف للشخص متكرر الكذب.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: الشخص الذي يوصف بأنه 'هَلاّس' يعتبر شخص موثوق.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هلامه,هُلَامَة ، هْلَامة . اصل الكلمة هلامي اي جيلاتيني. وهي صفة تطلق للذم على الشخص الذي يفتقر لرغبة أن يعز نفسه بنفسه، او يفتقد لرغبة ان يكون لنفسة سيادة ذاتية على نفسه وحياته ، فهو يميع ويتكيف مع القوى التي هي اقوى منه. تستخدم هذه الكلمة عندما ترا شخصاً يتكيَّف مع وضع اجتماعي مختلف عن قِيم الشخص الاصلية ، او عندما يصطف الشخص مع العدو ظنًا منه ان العدو اقوى منه ، او عندما يبدل المرء قِيمة في خضم الموقف.,General,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: الهلامة تُستخدم لوصف الشخص الذي يتمسك بقيمه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هلون,اي : هكذا وهي كلمة شمرية مشهورة,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'هلون' تعني 'هكذا'.
الخيارات:
أ) صحيح
ب) خطأ",أ
هلي,هلي: هو اسم لسيارة من شركة تويوتا و اسمها الحقيقي:هايلوكس,Central,"المهمة: قراءة العبارة وتحديد ما إذا كانت صحيحة أم خاطئة.
السؤال: سيارة الهلي معروفة بقدرتها على التحمل.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
هليمة,تقال بهذا اللفظ للذكر والانثى. صفة للشخص الهزيل وضعيف البنية والذي يبدو شاحباً من قلة الاكل,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'هليمة' للإشارة إلى الشخص الغني بالصحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
هماك,"هماك هو مصطلح في بعض اللهجات النجيدية كالقصيمية و السديراوية يعني ""ألم""",Central,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'هماك'.
السؤال: العبارة 'هماك تعني ألم' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
هَمَاهْ,تعني أليس (او) أليس هو كذلك (أو) الم يكن كذلك,Central,"المهمة: تحديد ما إذا كانت العبارة التالية صحيحة أم خاطئة .
السؤال: عبارة 'هَمَاهْ' تعني 'نعم، هو كذلك'.
الخيارات:
أ) صحيح
ب) خطأ",ب
هميطة,( هميطة ) مثال على كلمة ( احمق ) او ( مغفل ),Western,"المهمة: حدد صحة العبارة المتعلقة بكلمة 'هميطة'.
السؤال: كلمة 'هميطة' تعني الشخص الذكي.
الخيارات:
أ) صحيح
ب) خطأ",ب
هميطه,هَمْيَطه (فعل) ، هَمِيطَه (صفة) ، هَمَط ، يِتْمَهْيَط ، هَمْيَط (فعل ماض) ، هُمُوط (جمع) الهَمْيَطَة او الهَمِيط: هو الفشل في اتقان فعلة كان مُراد لها ان تكون رائعة ومدروسة. هَمِيطَه : صفة تطلق على الشخص الغبي (غالبًا مهايطي) الذي يريد ان تبدوا افعاله على انها رائعة ومحسوبة النتائج ولكنها فاشلة او غير مثالية لانها لم يُحسب لها جميع الاحتمالات. كلمة منتشرة في مدينة الطائف,Western,"المهمة: تقييم العبارة التالية.
السؤال: تستخدم كلمة 'هميطه' عادة لوصف الشخص الذكي الذي ينجح في أعماله.
الخيارات:
أ) صحيح
ب) خطأ",ب
هنيانه,كلمة شهرية تعني هنا,Southern,"المهمة: تقييم صحة العبارة عن الكلمة 'هنيانه'.
السؤال: كلمة 'هنيانه' تعني 'هناك' في اللغة العربية.
الخيارات:
أ) صح
ب) خطأ",ب
هنياني,هي كلمة نجدية وتعني هنا,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'هنياني' تعني في اللهجة النجدية 'بعيد'.
الخيارات:
أ) صحيح
ب) خطأ",ب
هَهَا,اسم فعل أمر بمعنى : أسكت أو بمعنى : لا يكثر ، أو بمعنى : اقطع الحديث عن أمرٍ ما,Central,"المهمة: اجب على العبارة التالية بصح أو خطأ.
السؤال: الكلمة 'هَهَا' تعني 'تحدث أكثر'.
الخيارات:
أ) صح
ب) خطأ",ب
هوّ,معقولة ؟ وهو للأستغراب من فعلٍ غير سليم,Central,"المهمة: اقرأ الجملة التالية وقرر إذا كانت صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'هوّ' للدلالة على الاعتراض.
الخيارات:
أ) صحيح
ب) خطأ",ب
هواء يا بقيق,هواء يا بقيق اي ان من قوت الفله والفرحه مع الاصدقاء تنطق هذي الكلمه,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'هواء يا بقيق' تعبر عن الفرح عند الاجتماع مع الأصدقاء.
الخيارات:
أ) صحيح
ب) خاطئ",أ
هوال بك,اي اسرع لك او اختصار لك او لحق الوقت لايفوتك,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'هوال بك' يعني 'تأخر عليك'.
الخيارات:
أ) صحيح
ب) خطأ",ب
هَوِيه,هويه بالزهرانية أي لماذا أو بالعامي ليش,Southern,"المهمة: حدد صحة العبارة التالية.
السؤال: تستخدم كلمة 'هَوِيه' للتعبير عن السبب في اللهجة الزهرانية.
الخيارات:
أ) صح
ب) خطأ",أ
هويه تعبين كذيه,لماذا تفعلين هذا؟,Western,"المهمة: حدد إن كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'هويه تعبين كذيه' تعني 'ما اسمك؟'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هياكلو,بمعنى الاستغراب من كلام المخاطب او الاستغراب من غباءه,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'هياكلو' تستخدم للإعجاب بشخص ما.
الخيارات:
أ) صحيح
ب) خطأ",ب
هيتس,تأتي بمعنى هكذا,General,"المهمة: تحديد صحة العبارة المتعلقة بالكلمة 'هيتس'.
السؤال: عبارة 'هيتس' تعني ابتعد.
الخيارات:
أ) صحيح
ب) خطأ",ب
واة خبور,في لهجة قبيلة المهارية بمعنى: كيف الحال.,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'واة خبور' تعني في لهجة المهارية: كيف الأحوال.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
واشيطانطربوه,واشيطانطربوه عباره عن ثلاث كلمات شيطان طير به ، وهي للتضجر,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'واشيطانطربوه' تعبر عن الفرح.
الخيارات:
أ) صحيح
ب) خطأ",ب
واق,واق: نظر إليهم من نافذة أو من مكان عال كالسطح مثلا.,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خطأ.
السؤال: كلمة 'واق' تعني المشي بجانب شخص آخر.
الخيارات:
أ) صحيح
ب) خطأ",ب
والكوبة,"تستخدم للذم والتقبيح والتقليل من شأن الشخص المذكور اسمه تشابه كلمات مثل : والطقعه , والخيبه , والله وما قالت",Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'والكوبة' تعبر عن المدح.
الخيارات:
أ) صحيح
ب) خاطئ",ب
والم,جاهز,Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'والم' تعني في اللهجة السعودية 'جميعنا مستعدون'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وان,أين ، وبالعامية: وين ، قلبت الياء ألفا حسب نطق بعض قبائل نجد .,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'وان' تعني 'لماذا' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
وايق,بمعنى انظر يمين ويسار او انظر بتمعن.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'كلمة وايق تعني انظر بعجلة.'
الخيارات:
أ) صحيح
ب) خاطئ",ب
وايل,الشخص الحق.ود كالبعير يشرب الماء و ليس لديه سنام,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'وايل' تشير إلى شخص يتسم بالقوة والحكمة.
الخيارات:
أ) صحيح
ب) خطأ",ب
وَبْش,"""وَبْش"" تعني قبيح",Western,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'وَبْش' تعني 'جميل' في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خطأ",ب
وتطقوا,هي كناية عن التعجيز و الاستحالة و يقصد بها حتى تبذل مجهوداُ خيالياً و رغم ذلك لن تستطيع,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تعني كلمة 'وتطقوا' القدرة على الإنجاز.
الخيارات:
أ) صحيح
ب) خطأ",ب
وجبت,كلمة تقال للتعبير عن بلوغ مرحلة نهاية الصبر او السكوت عن امر مزعج و لزوم التصرف بشكل حازم,Southern,"المهمة: تقييم صحة العبارة عن الكلمة.
السؤال: عبارة 'وجبت' تعني عدم اتخاذ أي إجراء بعد. صح أم خطأ؟
الخيارات:
أ) صح
ب) خطأ",ب
وجعان,وجعان أي به سقمٌ أو علة ، ويطلق على من يتصرف تصرف غير مقبول,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'وجعان' تشير إلى شخص يتمتع بصحة جيدة.
الخيارات:
أ) صحيح
ب) خطأ",ب
وجك,وجهك,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: الكلمة 'وجك' تعني 'وجهك'.
الخيارات:
أ) صحيح
ب) خطأ",أ
وجناء,هي المرأة مكتنزة اللحم قوية البدن معتدلة الطول والوزن,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'وجناء' تعني المرأة النحيلة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وجه النكبه,انا:ياخوي عطني الحلاوة اخوي: اذلفي ياوجه النكبه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'وجه النكبه' تشير إلى شخص محبوب في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
وجود,"كلمة مألوفة جدا في جميع اللغات تعبر عن مصدر لفعل ""وجد"" بمعنى ان يكون له مكان وكينونة، لكن هذا المصطلح وتعريفه في الفلسفة يبقى من أشد المصطلحات عصيانا على التعريف والتحديد فهو يقع في قلب الفلسفة، وبالتالي يختلف تعريفه بحسب الرؤية الكونية أو المدرسة الفلسفية.",Central,"المهمة: قيم العبارة التالية: 'كلمة وجود تعني فقط المكان الخالي.'
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",ب
وخر,بمعنى ابتعد عني او ابتعد عن طريقي,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وخر' تعني اقتراب الشخص.
الخيارات:
أ) صحيح
ب) خطأ",ب
وخري عني,اذهب عني,Central,"المهمة: حدد صحة العبارة.
السؤال: عبارة 'وخري عني' تعني 'ابقَ هنا'؟
الخيارات:
صح
خطأطأ",خ
ودّاء,ودّاء(فعل): وتعني أي أخذ (الشيء أو الشخص) إلى مكان ما. عكس جاب وهي أخذ الشيء من مكان ما!,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'ودّاء' تعني أخذ الشيء من مكان ما.
الخيارات:
أ) صحيح
ب) خطأ",ب
و’دَتس,تكتب ودك وتنطق ودتس وهو الشحم المستخرج من بطن الذبيحه,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'و’دَتس' تشير إلى الشحم المستخرج من بطن الذبيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
ودي,ودي بمعني : اريد ابي_ اعطني وهي كلمة تقال عند بعظ قبائل الجزيرة العربية قديما ولا زالت . وتنسب لصنم اسمه ود كانت تعبدة العرب قديما إلا ان جاء الرسول محمد صلى اللع علية وسلم فامر بتكسير الاصنام وتوحيد العبودية لله وحده كانهناك صنم ود والات والعزى وغيرها,General,"المهمة: تحديد صحة العبارة.
السؤال: كلمة 'ودي' مرتبطة بصنم قديم كان يُعبد.
الخيارات:
أ) صحيح
ب) خطأ",أ
وذابك,السؤال عن الحال باللهجة الجنوبية,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وذابك' تُستخدم للسؤال عن الحالة.
الخيارات:
أ) صحيح
ب) خطأ",أ
وذف,الشيء الصغير الناعم المناسب,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'وذف' تعني الشيء الصغير الناعم المناسب.
الخيارات:
أ) صحيح
ب) خطأ",أ
ورابوه,كلمة معناها لماذا,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أو خاطئة.
السؤال: كلمة 'ورابوه' تستخدم للسؤال عن السبب.
الخيارات:
أ) صحيح
ب) خطأ",أ
وراه,"""وراه"" هي كلمة في بعض مناطق نجد تقال للتساؤل عن العلة والسبب. يرادفها في العامية ""ليه؟"" أو ""ليش؟"". وفي الفصحى: ""لماذا؟"" أو ""ما السبب؟""",Central,"المهمة: تقييم صحة العبارة التالية.
السؤال: كلمة 'وراه' تعني في العامية 'ماذا؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وراو,اي: لماذا وهي غالبا تقال عندالقصمان,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وراو' تعني 'لماذا' وتستخدم في شمال السعودية.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
ورع,الورع هو الطفل وجمعها ورعان,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'الورعان تشير إلى الأطفال في اللهجة النجدية.'
الخيارات:
أ) صحيحة
ب) خاطئة",أ
ورع صنهات,ورع صنهات اي ورع مره,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'ورع صنهات' تعني شخص هو زعيم.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ورق كوبيا,ورق كربون للنسخ carbon paper,Western,"المهمة: اقرأ الجملة ثم حدد إذا كانت صحيحة أم خاطئة.
السؤال: 'ورق كوبيا' هو نوع من الورق يستخدم في الطباعة العادية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ورقه بيضا,ورقة بيضاء ، او صفحة بيضاء هي فكرة اطلقها الكاتب ستيڤن پينكر عن ان الانسان عباره عن ورقه بيضاء، ويقوم المجتمع والبيئة بصياغة شخصيته وخصائصه الانسانيه والسلوكية وكانه ورقة بيضاء وان هذا يحدث كعميلة التنشئة الاجتماعيه. ولكن فكرته لا تعير اي اعتبار للعوامل البيولوجية او للطبيعه البشرية التي هي لصيقة بالبشر وتحتّم التعامل بها ومعها، مثل العدوانية او تبعات المشاعر التي يشعر بها الانسان في تكوين دوافع له ، او حقيقة ان الانسان اناني حتى في سلوكه الايثاري.,General,"المهمة: تحديد صحة العبارة.
السؤال: العبارة: 'فكرة الكاتب ستيڤن پينكر تشير إلى أن الإنسان مثل ورقة بيضاء'.
الخيارات:
أ) صحيح
ب) خطأ",أ
ورور,تستخدم لوصف الغلام او الشاب الجميل جدا .,Western,"المهمة: اقرأ الجملة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: كلمة 'ورور' تستخدم لوصف الشاب القبيح.
الخيارات:
أ) صحيح
ب) خطأ",ب
ورى,تأتي بمعنى لماذا,Central,"المهمة: اقرأ الجملة وأكد صحتها أو خطأها.
السؤال: كلمة 'ورى' تعني 'لماذا' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",أ
ورية,هو صغير التكروني,Southern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أو خاطئة: 'ورية' تعني نبات.
السؤال: هل العبارة صحيحة أم خاطئة؟ 'ورية' تعني نبات.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
وزانك,بجانبك,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: كلمة 'وزانك' تعني 'بجانبك'.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
وش,تعني ماذا . وتربط بكلمات اخرى مثل وش تبي او وشلون او وش رايك,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'وش تبي مني' تعني 'ماذا تريد مني'.
الخيارات:
أ) صحيح
ب) خطأ",أ
وش جوك,كلمه تعني بالعربي الفصيح : ما طقسك لكن يعبر عنها السعودين قاصدين بها ماذا بك او لماذا فعلت هذا او قلت هذا,General,"المهمة: حدد صحة العبارة التالية حول كلمة 'وش جوك'.
السؤال: كلمة 'وش جوك' تعني 'ما بك؟'.
الخيارات:
أ) صحيح
ب) خطأ",أ
وش بلاك,تعني ماذا دهاك مثل ان يقول وشبلاك يامحمد ماجيت للعشاء,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'وش بلاك' تعني 'لماذا تضحك'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وش دعوة / شدعوة,تستخدم لإخبار الشخص لا داعي للقلق وأنك لا تمانع,General,"المهمة: قم بتحديد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'وش دعوة' تعني أنه ينبغي عليك القلق.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وش عقبه,وش عقبه يعني بعد ايش افات الاوان,Southern,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وش عقبه' تستخدم للدلالة على شيء يأتي بعد شيء آخر.
الخيارات:
أ) صحيح
ب) خطأ",أ
وش فيك,وش تعنى ماذا فيك تعنى بك اي ماذا بك,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خطأ.
السؤال: عبارة 'وش فيك' تعني 'ماذا تعني؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وش نوحك' تعني في اللهجة السعودية 'ما مشكلتك؟'.
الخيارات:
أ) صحيح
ب) خطأ",أ
وش يقول الشاعر الأمريكي !,هو استفهام بمعنى التعجب المصطلحي المنطقي ,Central,"المهمة: تحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وش يقول الشاعر الأمريكي' تعني تعبير يدل على التعجب.
الخيارات:
أ) صحيح
ب) خاطئ",أ
وشلون,"هي أداة استفهام. تأتي في بداية الكلام. وتعني ""كيف ذلك؟"". وتاتي أحيانا للسؤال عن الحال.",General,"المهمة: افحص الجملة التالية وحدد إذا كانت صحيحة أم خطأ.
السؤال: تستخدم كلمة 'وشلون' للسؤال عن الحال فقط.
الخيارات:
أ) صحيح
ب) خطأ",ب
وشوشه,الكلام المنخفض والقريب من الاذن .,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: عبارة 'وشوشه تعني الكلام المرتفع' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
وصوص,(فعل) - تذمر - اصدار الشيء، أو الجهاز صوتاً كالأنذار. - زقزقة العصفور. - صوت الفأر. وقد تُشتق الصفة منها على وزن(فعول) وصوّص، والأسم على وزن (فعلة) وصوصة.,General,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'وصوص' تشير فقط إلى صياح الببغاء.
الخيارات:
أ) صحيح
ب) خطأ",ب
وضيع,""" وضيع اي انه كالعبد لا قدر له بل يتلقى الأوامر وينفذها""",General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة التالية صحيحة أم خاطئة: 'وضيع تعني شخص ذو منصب رفيع'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وغد مفرد وغدان,وغد تعني الطفل الصغير وغدان اطفال,General,"المهمة: حدد صحة العبارة التالية:
السؤال: كلمة 'وغدان' تشير إلى الأطفال.
الخيارات:
أ) صح
ب) خطأ",أ
وغد وتصغير للوغد وغيد,تعني بالطفل وغد او وغيد بالهجه الشماليه  وهي كلمه الناطقون بها الغالبيه شمر و ظفير و خوالد .,Northern,"المهمة: تحديد ما إذا كانت العبارة صحيحة أم خاطئة وتفسيرها.
السؤال: عبارة 'وغد تعني شخص محترم' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
ولد,الابن,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'ولد' تعني 'الأب' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
ولد حَمَايِل / بنت حَمَايِل,ولد حمايل : يعني ابن عائلة محترمة أصيلة ذات قبيلة، وغالباً ما تطلق هذه اللفظة على العوائل إذا كانت نجدية و كلمة ( حمايل) جمع ، ومفردها : حَمُولَة : يعني أسرة أو عائلة,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'ولد حَمَايِل' تشير إلى ابن عائلة غير محترمة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وِلوِهْ,لماذا؟ كلمة تقال في تبوك,Northern,"المهمة: حدد صحة العبارة التالية: 'كلمة وِلوِهْ تستخدم في جدة'.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
وهقة,ورطة ، مصيبة . تقال أثناء وقوع أمر لا يحمد عقباه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: تستخدم كلمة 'وهقة' للتعبير عن حدث إيجابي.
الخيارات:
أ) صحيح
ب) خطأ",ب
وَيْ,اداة تعجب واستغراب تقال عن سماع خبر غير سار او عند الشعور بالخوف,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم كلمة 'وَيْ' للتعبير عن الفرح والسعادة.
الخيارات:
أ) صحيح
ب) خطأ",ب
وين هو بوه,وين هو بوه == اين هو ؟,Southern,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'وين هو بوه' تعني 'أين هو الوالد؟'
الخيارات:
أ) صحيح
ب) خطأ",ب
وينتس بوه,وتعني اين انتي,Central,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'وينتس بوه' تعني 'أين هم؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وينهوبه,أين مكانه ؟ وهي كلمة من ثلاثة أجزاء وين = أين هو = ضمير به = فيه أين هو فيه ؟,Southern,"المهمة: تقييم صحة العبارة المتعلقة بكلمة 'وينهوبه'.
السؤال: عبارة 'وينهوبه' تعني 'هل هو هنا؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وييل,"""وييل"" كلمة حجازية تعني التعجب من شي ما",Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'وييل' تستخدم للتعبير عن السعادة فقط.
الخيارات:
أ) صحيح
ب) خطأ",ب
يا أنهار ابيضّ,اهلاً بكم كيف حالكم,Western,"المهمة: حدد ما إذا كان البيان صحيحاً أو خاطئاً.
السؤال: عبارة 'يا أنهار ابيضّ' تعني 'كيف الحال' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",أ
يا بَعَدْ حَيْيِ,"لتجسيد صدق المحبه والموده للمدعو له، بحيث يعتبره بصدق نية وسلامة مغزى أنه يستخلفه في الأحياء من الذين يحبهم ويودهم، وقد يدخل ضمن ذلك أهله وأقاربه، وقد يتجاوز المتحدث الأحياء إلى الأموات فيقول ""يا بعد حيي وميتي"" وهو بذلك يبلغ الذروة في محبته ومعزته لمن يخاطبه فيقدمه على أحيائه وأمواته. أول من اطلق هذه العبارة هي سفانة ابنة حاتم الطائي أخت عدي ابن حاتم، وذلك عندما مرت بحائل مع أهل البيت قادمة من الشام بعد مقتل الحسين، فلما سألت قومها عن أخيها عدي أخبروها أن عدي ذهب إلى العراق يقود جيشاً، فقالت ""بَعُدَ حيي"" بمعنى: ذهب أهلي. اليوم حرفت إلى: بَعَدْ حَيْيِ.",Central,"المهمة: حدد صحة العبارة التالية: 'عبارة 'يا بَعَدْ حَيْيِ' تُستخدم فقط للأحياء ولا تتعلق بالأموات.'
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خطأ",ب
يا سفابه,**يا سفابه: كلمة تعني الندم أو الشعور بالحزن لفقدان شيء ما وغالباً ما يكون إنسان ، يا حسافه يا خساره,Central,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'يا سفابه' تعني الشعور بالسعادة لفقدان شيء.
الخيارات:
أ) صحيح
ب) خطأ",ب
