Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
نطل,نطل ينطل . أي يرمي الشيء,Central,"المهمة: اختر المعنى الصحيح لكلمة 'نطل'.
السؤال: ما هو المعنى الصحيح لكلمة 'نطل'؟
الخيارات:
أ) يرمي الشيء
ب) يقرأ الكتاب
ج) يغسل الأطباق
د) يزرع الأرض",أ
نطله,نطله ( الحساوية ) تقال عن الشيء غير المرتب او المنظم,General,"المهمة: اختر المعنى الصحيح لكلمة 'نطله'.
السؤال: ما معنى كلمة 'نطله' في اللهجة الحساوية؟
الخيارات:
أ) مرتب ومنظم
ب) غير مرتب وغير منظم
ج) جميل ومنسق
د) قديم ومتهالك",ب
نْعرَة,كلمة تقال على من لديه صفة الغرور أو ما يقل عن الغرور بدرجة أو درجتين,Western,"المهمة: حدد المعنى الصحيح لكلمة 'نْعرَة'.
السؤال: ما هو المعنى لكلمة 'نْعرَة'؟
الخيارات:
أ) التواضع
ب) الغرور
ج) حب الذات
د) الشجاعة",ب
نعفقة,فلان يتنعفق,General,"المهمة: حدد المعنى الصحيح لكلمة 'نعفقة'.
السؤال: ماذا تعني كلمة 'نعفقة' في اللهجة السعودية؟
الخيارات:
أ) يتدلل الشخص
ب) يفعل الخير
ج) يذهب بعيدًا
د) يلعب في الشارع",أ
نعله,نعله هي كلمة لذكر شي سئ جدا جدا,Western,"المهمة: حدد المعنى الصحيح لكلمة 'نعله'.
السؤال: ما هو المعنى الصحيح لكلمة 'نعله'؟
الخيارات:
أ) شيء جميل
ب) شيء سئ جدا جدا
ج) شيء محايد
د) شيء مفيد",ب
نعنبا,اختصار: لعن الله أبوك.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'نعنبا'.
السؤال: ما معنى كلمة 'نعنبا' في اللهجة السعودية؟
الخيارات:
أ) أتعرف على خالدي
ب) لعن الله أبوك
ج) أصحابي هنا
د) أراك قريبا",ب
نفج,نفج (فعل) - تعني ظهور كائنا ما أمامك فجأة، -وقد تعني طلوع كائناً ما من مخرجاً معين؛ كحفرة، أو شق على سطحا ما، أو فتحة ما.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'نفج'.
السؤال: ما معنى كلمة 'نفج'؟
الخيارات:
أ) اختفى شيء فجأة
ب) ظهر كائن فجأة
ج) سمع صوت
د) لم يحدث شيء",ب
نفروبك,هو مخلوف غير متصل يآتي لياخذك لمكان لا يعلمه الجن ولا العفاريت ولا يوجد على الجي بي اس والخرائط,Western,"المهمة: حدد المعنى الصحيح لكلمة 'نفروبك'.
السؤال: ما هو معنى كلمة 'نفروبك'؟
الخيارات:
أ) شخص مغامر يتجول في الأماكن الخطرة.
ب) مخلوف غير متصل يآتي لياخذك لمكان لا يعلمه الجن ولا العفاريت.
ج) طعام شعبي معروف في الحجاز.
د) نوع من الحيوانات النادرة.",ب
نفسيّة,تستخدم حديثاً لوصف الشخص سريع الزعل والذي يسهل تعكير مزاجه و يضيق صدره على أي شيء,General,"المهمة: حدد المعنى الصحيح لكلمة 'نفسيّة'.
السؤال: ما معنى كلمة 'نفسيّة' في اللهجة السعودية؟
الخيارات:
أ) سريع الزعل
ب) متفائل جداً
ج) هادئ ومتفهم
د) شخص يحب الضحك",أ
نُفيخة,تعني البالونة,Western,"المهمة: حدد المعنى الصحيح لكلمة 'نفيخة'.
السؤال: ما معنى كلمة 'نفيخة'؟
الخيارات:
أ) كرة
ب) بالونة
ج) صنارة صيد
د) طائرة",ب
نَقِبْ,نقب ويراد بها ثقب صغير وفي مادة نقب بلسان العرب النَّقْبُ: الثَّقْبُ في أَيِّ شيءٍ كان، نَقَبه يَنْقُبه نَقْباً.,Western,"المهمة: اختر المعنى الصحيح لكلمة 'نَقِبْ'.
السؤال: ما هو المعنى الصحيح لكلمة 'نَقِبْ'؟
الخيارات:
أ) باب كبير
ب) ثقب صغير
ج) جدار
د) نافذة",ب
نقفة,نقفة وجمعها نقفات.وتطلق على القول او الفعل او الموقف الخارج عن المألوف الذي يسبب الاحراج.فهو ناقف اي يعيب قول او فعل.ويقال نقفتك اي شرهت عليك ويقال قوم نقّافة اي يعيبون وينتقصون من البشر.وهو مشهور بين ابناء قبيلة بلحارث,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'نقفة'.
السؤال: ما معنى كلمة 'نقفة'؟
الخيارات:
أ) موقف يدعمه الناس
ب) فعل أو قول يسبب الإحراج
ج) تعبير عن السرور
د) كلمة تعني الشجاعة",ب
نقنقة,وجبة خفيفة أو تسالي (سناك),Western,"المهمة: حدد المعنى الصحيح لكلمة 'نقنقة'.
السؤال: ما هو معنى كلمة 'نقنقة'؟
الخيارات:
أ) وجبة خفيفة أو تسالي
ب) نوع من المشروبات
ج) لعبة شعبية
د) مكان للجلوس",أ
نكاش,يعني عود اسنان,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'نكاش'.
السؤال: ماذا تعني كلمة 'نكاش'؟
الخيارات:
أ) عود أسنان
ب) مشط
ج) سكين
د) مفتاح",أ
نكبة,هو الشخص الذي يجلعك في ورطة أو في موفق لا تحسد عليه,Western,"المهمة: حدد المعنى الصحيح لكلمة 'نكبة'.
السؤال: ما المعنى الصحيح لكلمة 'نكبة'؟
الخيارات:
أ) الشخص الذي يفرحك
ب) الشخص الذي يجلعك في ورطة
ج) الشخص الذي يساعدك
د) الشخص الذي يغضبك",ب
نكبه,"المشكلة, الورطة وأيضا تقال للشخص الذي يتسبب بالمشاكل",General,"المهمة: اختر المعنى الصحيح لكلمة 'نكبه'.
السؤال: ما معنى كلمة 'نكبه'؟
الخيارات:
أ) مشكلة
ب) سلام
ج) صداقة
د) نجاح",أ
نَمّاك,كذاب,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'نَمّاك'.
السؤال: ما هو معنى كلمة 'نَمّاك'؟
الخيارات:
أ) كاذب
ب) صادق
ج) شجاع
د) كريم",أ
نمتسن,اركب معي السيارة كودنا نمتسن الغدا عند امي,Western,"المهمة: حدد المعنى الصحيح للكلمة.
السؤال: ما معنى كلمة 'نمتسن'؟
الخيارات:
أ) اركب معي السيارة
ب) انطلق الآن
ج) ابقى في البيت
د) اشتري لي شيئاً",أ
نمك,مصطلح حجازي يعني بدون خدع او كذب,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'نمك'.
السؤال: ما هو المعنى الصحيح لكلمة 'نمك'؟
الخيارات:
أ) يعني المودة
ب) يعني بدون خدع أو كذب
ج) يعني الغش
د) يعني الصدق",ب
كبس,بمعني راح تاكل تراب,Western,"المهمة: حدد المعنى الصحيح لكلمة 'كبس'.
السؤال: ما هو المعنى الصحيح لكلمة 'كبس' في اللهجة الحجازية؟
الخيارات:
أ) أكل تراب
ب) لعب
ج) ركض
د) غطس",أ
نيم,نائم,Central,"المهمة: حدد المعنى الصحيح لكلمة 'نيم'.
السؤال: ما هو المعنى الصحيح لكلمة 'نيم'؟
الخيارات:
أ) نائم
ب) مستيقظ
ج) مشغول
د) غائب",أ
هاش,الكلمة جنوبية. من اللهجة الفيفية.تعني ذهب.,General,"المهمة: اختر المعنى الصحيح لكلمة 'هاش'.
السؤال: ما هو المعنى الصحيح لكلمة 'هاش'؟
الخيارات:
أ) ذهب
ب) جاء
ج) كتب
د) قطع",أ
هاض,هاض(فعل): وتعني النشاط والتهييج والأثارة والحماسة.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هاض'.
السؤال: ما معنى كلمة 'هاض'؟
الخيارات:
أ) الكسل والخمول
ب) النشاط والتهييج
ج) الهدوء
د) القلق والتوتر",ب
هاك / هاتس,لغة اهل حائل . هاك : تعني خُذ هذا الشي من يدي . وتقال للذكر هاتس : تعني خُذ هذا الشي من يدي . وهي تقال للانثى هاتس : تعني كذا او بالاحرى هكذا .,Northern,"المهمة: حدد المعنى الصحيح لكلمة 'هاك / هاتس'.
السؤال: ماذا تعني كلمة 'هاك' في اللهجة السعودية؟
الخيارات:
أ) خذ هذا الشي من يدي
ب) أرسل إلي هذا الشي
ج) انظر إلى هذا الشي
د) اعطني هذا الشي",أ
هاه,تعبير يستخدم في اكثر من استخدام ، منها : - لطلب اعادة كلام شخص ما تعذرًا لعدم الاستماع اليه ( ماذا ) - لطلب الرد بعد اعطاء التخيير أو الرأي,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'هاه'.
السؤال: ما هو المعنى الشائع لكلمة 'هاه'؟
الخيارات:
أ) تعبير يستخدم للتعبير عن الاستغراب
ب) تعبير يسأل عن الرأي بعد التخيير
ج) تعبير للحث على الصمت
د) تعبير للسخرية",ب
هاوو,كلمة تقال بيننا وتدل على التعجب واكثر الاحيان تقال دائما .,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هاوو'.
السؤال: ما هو المعنى الذي تدل عليه كلمة 'هاوو'؟
الخيارات:
أ) تعبير عن الفرح
ب) تعبير عن التعجب
ج) تعبير عن الحزن
د) تعبير عن الاستغراب",ب
هب لك,تعني خذ لك,Central,"المهمة: حدد المعنى الصحيح لعبارة 'هب لك'.
السؤال: ماذا تعني عبارة 'هب لك'?
الخيارات:
أ) اصنع لك
ب) خذ لك
ج) أعد لك
د) أعط لك",ب
هبره,هبره تعني قطعة اللحم الخالية من العظم,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هبره'.
السؤال: ماذا تعني كلمة 'هبره'؟
الخيارات:
أ) قطعة اللحم الخالية من العظم
ب) نوع من الخبز
ج) نوع من الأسماك
د) طبق حلو",أ
هبقه,هَبْقَه ، تَهْبِيقَه ، هبّقْنا ، مِهَبِّقِين الهبقه هي الفعل الذي يُفعل بلا سابق تخطيط ومع العزيمه على اتمامه.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'هبقه'.
السؤال: ما هو المعنى الصحيح لكلمة 'هبقه'؟
الخيارات:
أ) فعل يتم بلا تخطيط سابق
ب) فعل يتم بتخطيط دقيق
ج) فعل يدل على الانكسار
د) فعل يشير إلى السعادة",أ
هبيلة,أي بمعنى سفيه أو غبي,Central,"المهمة: حدد معنى الكلمة 'هبيلة'.
السؤال: ما الذي تعنيه كلمة 'هبيلة' في اللهجة السعودية؟
الخيارات:
أ) ذكي
ب) سفيه
ج) حكيم
د) طموح",ب
هتفووه,صوت البصاق وتقال للإستهزاء والسخرية,Western,"المهمة: حدد المعنى الصحيح لكلمة 'هتفووه'.
السؤال: ما هو المعنى الصحيح لكلمة 'هتفووه'؟
الخيارات:
أ) صوت البصاق وتقال للإستهزاء والسخرية
ب) نوع من الفاكهة
ج) أداة موسيقية
د) طريقة للرقص",أ
هَثْوِلي,تقال للذي لا يحسن اللبس، ويكون لباسه فوضوي وغير مرتب.,Southern,"المهمة: حدد المعنى الصحيح للكلمة 'هَثْوِلي'.
السؤال: ما هو المعنى الصحيح لكلمة 'هَثْوِلي'?
الخيارات:
أ) شخص أنيق في لباسه
ب) شخص لا يحسن اللبس
ج) شخص يرتدي ملابس رسمية
د) شخص يرتدي ملابس كاجوال",ب
هَجْ,بمعنى هرب للمذكر هَجْ : فعل ماض هِجْ : فعل أمر يِهٍجْ: فعل مضارع بكسر الهاء المشددة للمؤنث هَجًت : فعل أمر بفتح الهاء و فتح الجيم المشددة هِجٍي : فعل أمر بكسر الهاء و كسر الجيم المشددة تِهٍج : فعل مضارع بكسر التاء و كسر الهاء المشددة,Western,"المهمة: اختر المعنى الصحيح لكلمة 'هَجْ'.
السؤال: ما هو المعنى الصحيح لكلمة 'هَجْ'؟
الخيارات:
أ) هرب
ب) جاء
ج) جلس
د) نام",أ
هَجْ / هَجَّت,هج أي هرب .,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'هج'.
السؤال: ما هو المعنى الصحيح لكلمة 'هج'؟
الخيارات:
أ) هرب
ب) انتقل
ج) جلس
د) تزوج",أ
هجت معه,هَجَّت مَعَه / معي / معك ، تِهِج معه حرفياً تعني ولَّعت معه. والشخص الذي هجت معه تعني ؛ تواءمَ وانساقَ مع نزوته او حدسه او رغبته او شياطينه. وهي تطلق على النزوة غير المخطط لها عندما تساق معها تاركًا خلفك اسلوب شخصيتك ، او رباطة جأشك او كياستك.,General,"المهمة: اختر المعنى الصحيح للتعبير 'هجت معه'.
السؤال: ما الذي يعنيه التعبير 'هجت معه'؟
الخيارات:
أ) توافق مع شخص ما
ب) تجنب شخص ما
ج) الانتقال إلى مكان جديد
د) الإصرار على رأي معين",أ
هجدها,الحضور المفاجئ عند إضافة الشدة عند الجيم هجّد تصبح بمعنى هدّأ,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هجدها'.
السؤال: ما هو المعنى الصحيح لكلمة 'هجدها'؟
الخيارات:
أ) هجم عليها
ب) حضر فجأة
ج) نام
د) غادر",ب
هجولة,الهجولة مصطلح يطلق على فعل وهو القيام بأخذ بعض الأصدقاء المقربين والتسكع في الشوارع والأسواق مع محاولة القيام بشيء يؤذي الناس مثل التفحيط أو التحرش أو رفع صوت المسجل . إلخ ونلاحظ من أول حرفين من المصطلح أن الهجولة لها علاقة بالهجة من خلال ( هج ) او الهروب، وذلك ما يقتضيه أذية الناس أو ردة فعل تجاه من يردعهم عن فعلهم.,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'هجولة'.
السؤال: ماذا يعني مصطلح 'هجولة'؟
الخيارات:
أ) الاسترخاء مع الأصدقاء
ب) التنزه مع الأصدقاء في الشوارع
ج) الدراسة في المكتبة
د) ممارسة الرياضة في النادي",ب
هِدِر,بمعنى الغبي الذي لا يفقه,Central,"المهمة: حدد معنى كلمة 'هِدِر'.
السؤال: ما هو معنى كلمة 'هِدِر'؟
الخيارات:
أ) شخص ذكي
ب) شخص غبي
ج) شخص مشهور
د) شخص حكيم",ب
هدى او هدا,هدى او هدا بمعنى هيا او تعال تقال للاطفال عندما يتعلمون المشي,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هدى او هدا'.
السؤال: ما معنى كلمة 'هدى او هدا'؟
الخيارات:
أ) تعني اذهب أو اركض.
ب) تعني هيا أو تعال.
ج) تعني اجلس أو استمع.
د) تعني ابدأ أو أوقف.",ب
هذا واه,كلمة باللهجة القطيفيه تعنى (ما هذا) او ( ما الذي يحصل),Western,"المهمة: حدد المعنى الصحيح للكلمة 'هذا واه'.
السؤال: ماذا تعني كلمة 'هذا واه' باللهجة السعودية؟
الخيارات:
أ) ما هذا؟
ب) أراك لاحقاً
ج) ماذا تفعل؟
د) أين تذهب؟",أ
هذرتك,الهذرة هي الكلام الغير موضوعي وغير عقلاني. وهي كلمة تستخدم لذم الشخص الذي يقول كلامًا غير صحيح او كلام ليضيع به الوقت.,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هذرتك'.
السؤال: ما المقصود بكلمة 'هذرتك'؟
الخيارات:
أ) الكلام المنطقي والعقلاني
ب) الكلام الغير موضوعي وغير عقلاني
ج) النقاش العلمي
د) الحوار الهادئ",ب
هرج,كلام أو حديث,Western,"المهمة: حدد المعنى الصحيح لكلمة 'هرج'.
السؤال: ما هو المعنى الصحيح لكلمة 'هرج'؟
الخيارات:
أ) حديث أو كلام
ب) صمت أو سكوت
ج) جريمة أو خطأ
د) غذاء أو طعام",أ
هرسك,هرسك او متهرسك هرسك = تعني الحماقة والغباء والجنون متهرسك = تعني الوضع الان ليس جيدا,Western,"المهمة: اختر المعنى الصحيح لكلمة 'هرسك'.
السؤال: ما معنى كلمة 'هرسك'؟
الخيارات:
أ) الحكمة
ب) الحماقة والغباء
ج) القوة والشجاعة
د) الجمال والذكاء",ب
هزو مركب,عبارة عن لعبة تحتوي على مقعدين كل مقعد على طرف ترتكز هذه المقاعدعلى عمود مثبت في الاورض يركب احد الاطفال على مقعد ويقابله طفل ثاني على المقعد الاخر ويبدأن باللعب,Western,"المهمة: اختر المعنى الصحيح لعبارة 'هزو مركب'.
السؤال: ما هو المعنى الصحيح لعبارة 'هزو مركب'؟
الخيارات:
أ) نوع من السفن
ب) لعبة تعتمد على مقعدين
ج) طريقة للنقل
د) رقص شعبي",ب
هَس,تعني كذا,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'هَس'.
السؤال: ماذا تعني كلمة 'هَس' في اللهجة النجدية؟
الخيارات:
أ) تعني الآن
ب) تعني دع
ج) تعني معاً
د) تعني بسرعة",أ
هش,اصمت !,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هش'.
السؤال: ما معنى كلمة 'هش' في اللهجة السعودية؟
الخيارات:
أ) اضحك بصوت عالي
ب) اصمت !
ج) اترك المكان
د) تحدث بصوت منخفض",ب
هش بس,اسكت ولا كلمه,Central,"المهمة: اختر المعنى الصحيح ل 'هش بس'.
السؤال: ما معنى العبارة 'هش بس'؟
الخيارات:
أ) اسكت ولا كلمه
ب) تفضل بالحديث
ج) أترك الأمور
د) لا تتدخل",أ
هطف,هطف وهو الهطفة الهطف شخص غبي جدآ ولا يعلم مايدور من حوله بمعني لا يعلم ساسه من راسه إمعه . وفي الغالب يكون شين وقوي عين يعني مايستحي لانه لا يعلم انه هطف,Western,"المهمة: اختر المعنى الصحيح لكلمة 'هطف'.
السؤال: ما هو المعنى الصحيح لكلمة 'هطف'؟
الخيارات:
أ) شخص حكيم جدًا
ب) شخص غبي جدًا
ج) شخص لطيف للغاية
د) شخص صادق دائمًا",ب
هطقه,الهطوق والهطقة هو الانسان الحساس والغبي الذي يتصرف بعدوانية في الوقت الخاطئ هطقة تستخدم للذكر والانثى,General,"المهمة: حدد المعنى الصحيح لكلمة 'هطقه'.
السؤال: ما هو المعنى الصحيح لكلمة 'هطقه'؟
الخيارات:
أ) الشخص الذكي
ب) الشخص الحساس والغبي
ج) الشخص الشجاع
د) الشخص العنيف",ب
هفتان,هفتان معناها الشعور بالاعياء والتعب وسرعة في ضربات القلب,Western,"المهمة: حدد المعنى الصحيح لكلمة 'هفتان'.
السؤال: ما معنى كلمة 'هفتان'؟
الخيارات:
أ) الشعور بالاعياء والتعب وسرعة في ضربات القلب
ب) الشعور بالفرح والنشاط
ج) الانزعاج والقلق
د) النوم العميق",أ
هقّه,ليس له شخصية ضعيف وجبان. منقاد ويتحكم فيه الجميع بسهولة، وعندما يتحكم فيه الناس لا يبدو عليه حتى الانزعاج أو التفكير فقط يستجيب بملامح باردة وكأنه في عالم آخر حيث لا تعابير واضحة عليه سوى أنه يقبل ويفعل. بمعنى آخر: ضعيف الشخصية وسهل الخداع والانقياد.,General,"المهمة: حدد المعنى الصحيح لكلمة 'هقّه'.
السؤال: ما هو المعنى الدقيق لكلمة 'هقّه' في اللهجة السعودية؟
الخيارات:
أ) شخصية قوية وجريئة
ب) شخص ضعيف وجبان
ج) شخص حكيم ومستقل
د) شخص مغرور ومتعجرف",ب
هك عليه,أي كذب عليه,Southern,"المهمة: اختر المعنى الصحيح لعبارة 'هك عليه'.
السؤال: ما هو المعنى الصحيح لعبارة 'هك عليه'؟
الخيارات:
أ) تحدث عنه بإيجابية
ب) كذب عليه
ج) أخبره بسر
د) ساعده",ب
هلا حقت المازوخي,هلا مرات يستخدومنها الناس عشان يثبت صفة سلبية على نفسه زي لما احد يناديك بلقب معين و تقول أنا هذا معناته انك راضي بالإسم,General,"المهمة: حدد المعنى الصحيح لمصطلح 'هلا حقت المازوخي'.
السؤال: ما معنى 'هلا حقت المازوخي'?
الخيارات:
أ) عبارة تستخدم للتعبير عن الفخر
ب) عبارة تشير إلى الرضا عن لقب سلبي
ج) تعبير يدل على الصداقة
د) تعبير عن الغضب",ب
هَلاّس,وصف للشخص متكرر الكذب.,Central,"المهمة: اختر المعنى الصحيح لكلمة 'هَلاّس'.
السؤال: ما هو معنى كلمة 'هَلاّس'؟
الخيارات:
أ) شخص يتسم بالصدق
ب) وصف للشخص متكرر الكذب
ج) شخص ذكي
د) شخص كريم",ب
هلامه,هُلَامَة ، هْلَامة . اصل الكلمة هلامي اي جيلاتيني. وهي صفة تطلق للذم على الشخص الذي يفتقر لرغبة أن يعز نفسه بنفسه، او يفتقد لرغبة ان يكون لنفسة سيادة ذاتية على نفسه وحياته ، فهو يميع ويتكيف مع القوى التي هي اقوى منه. تستخدم هذه الكلمة عندما ترا شخصاً يتكيَّف مع وضع اجتماعي مختلف عن قِيم الشخص الاصلية ، او عندما يصطف الشخص مع العدو ظنًا منه ان العدو اقوى منه ، او عندما يبدل المرء قِيمة في خضم الموقف.,General,"المهمة: حدد المعنى الصحيح لكلمة 'هلامه'.
السؤال: ما معنى كلمة 'هلامه'؟
الخيارات:
أ) شخصية قوية
ب) شخص يتكيف مع الظروف
ج) شخص عصبي
د) شخص محبوب",ب
هلون,اي : هكذا وهي كلمة شمرية مشهورة,Northern,"المهمة: اختر المعنى الصحيح لكلمة 'هلون'.
السؤال: ما معنى كلمة 'هلون'؟
الخيارات:
أ) الخطأ
ب) هكذا
ج) فوق
د) تحت",ب
هلي,هلي: هو اسم لسيارة من شركة تويوتا و اسمها الحقيقي:هايلوكس,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هلي'.
السؤال: ماذا تعني كلمة 'هلي'؟
الخيارات:
أ) حذف أي عنصر من القائمة
ب) اسم لسيارة من شركة تويوتا
ج) لفظ يصف التحية بين الأصدقاء
د) نوع من الحلوى",ب
هليمة,تقال بهذا اللفظ للذكر والانثى. صفة للشخص الهزيل وضعيف البنية والذي يبدو شاحباً من قلة الاكل,General,"المهمة: حدد المعنى الصحيح لكلمة هليمة.
السؤال: ما هو المعنى الصحيح لكلمة 'هليمة'?
الخيارات:
أ) شخص قوي البنية
ب) شخص هزيل وضعيف البنية
ج) شخص غاضب
د) شخص سعيد",ب
هماك,"هماك هو مصطلح في بعض اللهجات النجيدية كالقصيمية و السديراوية يعني ""ألم""",Central,"المهمة: تحديد المعنى الصحيح لكلمة 'هماك'.
السؤال: ما هو المعنى الصحيح لكلمة 'هماك' في اللهجة النجيدية؟
الخيارات:
أ) سلام
ب) ألم
ج) غروب
د) صديق",ب
هَمَاهْ,تعني أليس (او) أليس هو كذلك (أو) الم يكن كذلك,Central,"المهمة: اختيار المعنى الصحيح لكلمة 'هَمَاهْ'.
السؤال: ما هو المعنى الصحيح لكلمة 'هَمَاهْ'؟
الخيارات:
أ) أليس كذلك؟
ب) نعم، هو كذلك
ج) ربما يكون صحيحاً
د) بالتأكيد لا",أ
هميطة,( هميطة ) مثال على كلمة ( احمق ) او ( مغفل ),Western,"المهمة: حدد المعنى الصحيح لكلمة 'هميطة'.
السؤال: ما معنى كلمة 'هميطة' في اللهجة الحجازية؟
الخيارات:
أ) ذكي
ب) مغفل
ج) شجاع
د) صادق",ب
هميطه,هَمْيَطه (فعل) ، هَمِيطَه (صفة) ، هَمَط ، يِتْمَهْيَط ، هَمْيَط (فعل ماض) ، هُمُوط (جمع) الهَمْيَطَة او الهَمِيط: هو الفشل في اتقان فعلة كان مُراد لها ان تكون رائعة ومدروسة. هَمِيطَه : صفة تطلق على الشخص الغبي (غالبًا مهايطي) الذي يريد ان تبدوا افعاله على انها رائعة ومحسوبة النتائج ولكنها فاشلة او غير مثالية لانها لم يُحسب لها جميع الاحتمالات. كلمة منتشرة في مدينة الطائف,Western,"المهمة: حدد معنى كلمة 'هميطه'.
السؤال: ما هو معنى كلمة 'هميطه' في اللهجة السعودية؟
الخيارات:
أ) التفوق والمهارة
ب) الفشل والغباء
ج) النجاح والتميز
د) الحكمة والرؤية",ب
هنيانه,كلمة شهرية تعني هنا,Southern,"المهمة: تحديد معنى الكلمة 'هنيانه'.
السؤال: ما هو المعنى الصحيح لكلمة 'هنيانه'؟
الخيارات:
أ) مكان للراحة
ب) كلمة تعني هنا
ج) اسم شخص
د) فعل ينصح به",ب
هنياني,هي كلمة نجدية وتعني هنا,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هنياني'.
السؤال: ما معنى كلمة 'هنياني' في اللهجة النجدية؟
الخيارات:
أ) تعني هنا
ب) تعني بعيد
ج) تعني سعيد
د) تعني انتهى",أ
هَهَا,اسم فعل أمر بمعنى : أسكت أو بمعنى : لا يكثر ، أو بمعنى : اقطع الحديث عن أمرٍ ما,Central,"المهمة: حدد معنى الكلمة 'هَهَا'.
السؤال: ما معنى الكلمة 'هَهَا'؟
الخيارات:
أ) يطلب من الشخص السكوت
ب) تعبر عن الفرح
ج) تعني الإنذار
د) تعني الرغبة في الحديث",أ
هوّ,معقولة ؟ وهو للأستغراب من فعلٍ غير سليم,Central,"المهمة: اختر المعنى الصحيح لكلمة 'هوّ'.
السؤال: ما هو المعنى الصحيح لكلمة 'هوّ' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الاستغراب
ب) تعبير عن الفرح
ج) تعبير عن الحزن
د) تعبير عن التأكيد",أ
هواء يا بقيق,هواء يا بقيق اي ان من قوت الفله والفرحه مع الاصدقاء تنطق هذي الكلمه,Eastern,"المهمة: حدد المعنى الصحيح للجملة 'هواء يا بقيق'.
السؤال: ماذا تعني عبارة 'هواء يا بقيق'؟
الخيارات:
أ) تعبير عن الحزن.
ب) تعبير عن الفرح.
ج) وصف لحالة الطقس.
د) نداء بعيد.",ب
هوال بك,اي اسرع لك او اختصار لك او لحق الوقت لايفوتك,Western,"المهمة: اختر المعنى الصحيح لكلمة 'هوال بك'.
السؤال: ما هو المعنى الصحيح لكلمة 'هوال بك'؟
الخيارات:
أ) تأخر عليك
ب) أسرع لك
ج) اجلس هنا
د) ابعد عني",ب
هَوِيه,هويه بالزهرانية أي لماذا أو بالعامي ليش,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'هَوِيه'.
السؤال: ماذا تعني كلمة 'هَوِيه' في اللهجة الزهرانية؟
الخيارات:
أ) لماذا
ب) من أين
ج) كيف
د) متى",أ
هويه تعبين كذيه,لماذا تفعلين هذا؟,Western,"المهمة: حدد المعنى الصحيح لعبارة 'هويه تعبين كذيه'.
السؤال: ما معنى عبارة 'هويه تعبين كذيه'؟
الخيارات:
أ) لماذا تفعلين هذا؟
ب) ما اسمك؟
ج) أين تذهبين؟
د) ماذا تطبخين؟",أ
هياكلو,بمعنى الاستغراب من كلام المخاطب او الاستغراب من غباءه,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'هياكلو'.
السؤال: ما هو المعنى الصحيح لكلمة 'هياكلو'؟
الخيارات:
أ) الاستغراب من كلام المخاطب
ب) التقدير والاحترام
ج) الفرح والسرور
د) الغضب والتوتر",أ
هيتس,تأتي بمعنى هكذا,General,"المهمة: تحديد المعنى الصحيح للكلمة 'هيتس'.
السؤال: ما هو معنى كلمة 'هيتس'؟
الخيارات:
أ) يأتي بمعنى هكذا
ب) يأتي بمعنى أكثر
ج) يأتي بمعنى أقل
د) يأتي بمعنى بعيد",أ
واة خبور,في لهجة قبيلة المهارية بمعنى: كيف الحال.,Western,"المهمة: اختر المعنى الصحيح لعبارة 'واة خبور'.
السؤال: ما هو معنى كلمة 'واة خبور' في لهجة قبيلة المهارية؟
الخيارات:
أ) ما الأخبار؟
ب) كيف الحال؟
ج) ماذا تفعل؟
د) أين الذهاب؟
الإجابة الصحيحة:",
واشيطانطربوه,واشيطانطربوه عباره عن ثلاث كلمات شيطان طير به ، وهي للتضجر,Central,"المهمة: حدد المعنى الصحيح لكلمة 'واشيطانطربوه'.
السؤال: ما معنى كلمة 'واشيطانطربوه'?
الخيارات:
أ) تعني الشجاعة
ب) تعني التضجر
ج) تعني اللعب
د) تعني الفرح",ب
واق,واق: نظر إليهم من نافذة أو من مكان عال كالسطح مثلا.,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'واق'.
السؤال: ما هو المعنى الصحيح لكلمة 'واق'؟
الخيارات:
أ) نظر إليهم من نافذة
ب) مشى بسرعة
ج) غطى وجهه
د) صرخ بصوت عال",أ
