Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
شق جبهة,عبارة  تستخدم لوصف حالة الانتصارفلان شق جبهة فلان يعني الجمه او افحمه و انتصر عليه في النقاش ( شق الجبهة ) يوافق المعنى الفصيح يشابهه تقريبا فلان قصف جبهة فلان,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: إذا قال شخص ""أحمد شق جبهة ماجد""، فهذا يعني أن أحمد ماجد في النقاش. 
الخيارات: 
A) هزم 
B) تراجع 
C) دعم 
D) جادل",A
شنقل الباب,اترك الباب مفتوح قليلاً,Western,"المهمة: املأ الفراغ بالعبارة الصحيحة.
السؤال: عندما أقول لأحدهم 'شنقل الباب'، فإنني أعني أن عليه ______.
الخيارات:
أ) يغلق الباب
ب) يترك الباب مفتوح قليلاً
ج) يضرب الباب
د) يشد الباب",ب
شنوحك,الكلمه عباره عن ماذا بك,Northern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: ما __________؟
الخيارات:
أ) شنحتك
ب) شنوحك
ج) شنو حالك
د) شنودك",ب
صجه ولجه,الإزعاج الشديد الناشيء من الأصوات والحركة الكثيرة,General,"المهمة: املأ الفراغ بالعبارة الصحيحة.
السؤال: تُستخدم عبارة 'صجه ولجه' عند الإشارة إلى __________.
الخيارات:
أ) الإزعاج الشديد
ب) الأعياد
ج) الزواج
د) السفر",أ
صخم الله رقاعك,جملة تقال للي ما عنده سالفه و معناها : سود الله وجهك,Central,"### نوع السؤال: املأ الفراغ
Task: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
Question: عندما رأيت شخصًا يفعل شيئًا غير لائق، قلت له: "" الله رقاعك"". 
Options: 
A) صغم 
B) صخم 
C) سقم 
D) زخم 
Correct answer: B",
صديق,هي عبارة نداء للعمال والموظفين القادمين من دول آسيوية غير عربية,General,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: أحتاج إلى _______ (صديق) لتحضير الطلبات.
الخيارات:
أ) صديق
ب) زميل
ج) عدو
د) شقيق",أ
صياحك طرب,عندما تريد إظهار اللامبالاة بالإساءة الموجه لك,Central,"المهمة: أكمل الفراغ الصحيح في الجملة.
السؤال: عندما يوجه أحدهم إليك إساءة وتقول 'صياحك طرب'، فإنك تُظهر __________.
الخيارات:
أ) اهتمامك
ب) الحزن
ج) اللامبالاة
د) الاستعطاف",ج
ضاق الصدر,حزن,General,"المهمة: إكمال الجملة بالعبارة المناسبة
السؤال: عندما سمع الخبر السيء، _____ والده.
الخيارات:
أ) عاد
ب) ضاق صدره
ج) فرح
د) سافر",ب
ضريب إرتتس,ضريب = أسم شخص شعبي . ولا أظن أنه هناك احدن أسمهو ضريب إرتتس = بمعنى إرتك أو جب مركا وارتك ومعناها أستريح بس .,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: تستخدم كلمة 'ضريب' في سياق ____ في اللهجة السعودية.
الخيارات:
أ) الأسماء
ب) الأعياد
ج) الطقس
د) الألعاب",أ
ضعوي,تعني الخرطي وهو انه كذاب نصاب,General,"المهمة: اكمل الجملة بالكلمة المناسبة.
السؤال: فهد دائما يقول أشياء غير صحيحة، لذلك يعتبر ___.
الخيارات:
أ) صادق
ب) ضعوي
ج) عالم
د) أمين",ب
طار بالعجة,عندما يندفع شخص لفعل شيء متأثرا من شيء سواء كان كلاما أو فعلا من شخص آخر,General,"المهمة: أكمل الجملة التالية بالعبارة المناسبة.
السؤال: عندما سمع أحمد الكلمة، __________.
الخيارات:
أ) نام
ب) طار بالعجة
ج) هرب
د) أكل الطعام",ب
اتوطى في بطنك,اتوطى في بطنك: معناها انن سوف يضربه بقوة,Central,"المهمة: أكمل الجملة التالية.
السؤال: عندما يقول شخص ما 'اتوطى في بطنك'، فإنه يعني أنه سوف __________.
الخيارات:
أ) يضربه بقوة
ب) يساعده
ج) يضحك عليه
د) يشتري له شيئاً",أ
يباري الساس,يمشي بمحاذاة الجدار - يدور الظلال أو يتغبى عن أحد.,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (لهجة).
السؤال: كان يمشي _______ عند الجدار عشان ما أحد يشوفه.
الخيارات:
أ) يهرول
ب) يباري الساس
ج) يتفاخر
د) يتصدر",ب
طراش,القي,General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: كان يتحدث عن ____ في الجلسة.
الخيارات:
أ) طراش
ب) طعام
ج) سيارات
د) أفكار",أ
اترك الهِياط,تُقال لمن يبالغ في ادعاءاته أو يتصنع القوة.,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: كل شوي يتفاخر بدون دليل، قلت له: ""_____"".
الخيارات:
أ) شرواك الطيب
ب) اترك الهِياط
ج) بدري عليك
د) يا مال العافية",ب
عافية ربي,هي عبارة دعوة بالعافية من رب العالمين في الحجاز تقال هذه العبارة للاطفال عند النوم ولكن بطريقة مخيفة قليلا وكانها دعوة لشبح مافيخاف الاطفال وينامون بسرعة ولكن عندما يكبر الطفل يعرف معنى هذه العبارة ويبدأ بلوم امه والضحك على هذه العبارة,Western,"### 3. نوع السؤال: املأ الفراغ
- المهمة: اختر الكلمة المناسبة لتملأ الفراغ في الجملة.
- السؤال: عندما تقول الأم لأطفالها ""عافية ربي""، فإنها تقصد دعوتهم إلى .
- الخيارات:
 A) اللعب 
 B) النوم 
 C) الدراسة 
 D) الأكل 
-",B
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: 'إذا شفت واحد عاقد النونه، عادي تسأله: شفيك __________؟'
الخيارات:
أ) مبتسم
ب) زعلان
ج) نائم
د) متعب",ب
هب لي,اعطني,Southern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: لو سمحت، ____ الجوال دقيقة.
الخيارات:
أ) هب لي
ب) اندر بره
ج) زبد له
د) سامج",أ
عداك العيب,في حالتك إعجابك بفعل أو كلام شخصاُ ما,Central,"المهمة: أكمل الفراغ بما يناسب المعنى.
السؤال: أنت تريد أن تعبر عن إعجابك بشخص ما. يمكنك أن تقول له '_______ العيب'.
الخيارات:
أ) عداك
ب) لا
ج) لماذا
د) لا أعلم",أ
عدك عليه,اذا كنت معصب على مديرك وتبى تفش غلك وبدون مايعرف وش معناه قله عدك عليه طال عمرك,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما تكون غاضبًا من مديرك، يمكنك أن تقول له: '________ عليه'.
الخيارات:
أ) أحبك
ب) عدك
ج) سعيد
د) أعتذر",ب
أبو خمسة,يستخدم للشخص الشره اللذي يأكل بيده.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يستخدم المصطلح 'أبو خمسة' لوصف ____ اللذي يأكل بيده.
الخيارات:
أ) الشخص الشره
ب) الشخص الحكيم
ج) الشخص الخجول
د) الشخص السعيد",أ
عساك سالم,"تأتي بشكل عامي بمعنى ""استريح""",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'عساك _____'، أعني أنني أتمنى لك الراحة.
الخيارات:
أ) بخير
ب) سالم
ج) سعيد
د) قوي",ب
عساك طيب,عندما تسأل شخص : كيف حالك؟ في السعودية يستبدلوها في الغالب بلهجة السؤال: عساك طيب؟,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما تسأل شخصاً عن حاله في السعودية، قد تقول له: __________.
الخيارات:
أ) كيف حالك؟
ب) عساك طيب
ج) ما الأمر؟
د) لماذا تتأخر؟",ب
عسى مالك,ماذا طرأ لك أيضا مالك يا أخي,Western,"المهمة: أكمل الفراغ في الجملة الآتية.
السؤال: عبارة 'عسى مالك' تعني _____ مالك يا أخي.
الخيارات:
أ) ماذا طرأ
ب) أين ذهبت
ج) كيف حالك
د) لماذا تأخرت",أ
عضّ الأرض,عباره مسكته أو رادعه لشخص أحلامه كبيره ومستحيله,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كان الشخص يستخدم تعبير 'عضّ الأرض'، فإنه يكون __________ أحلام كبيرة.
الخيارات:
أ) مشجعًا على تحقيق
ب) رادعًا عن تحقيق
ج) غير مهتمًا بـ
د) متقبلًا لـ",ب
عض على شحمه,تقال عندما يقوم الشخص بالتحدث عن موضوع لا يفقه فيه شيء أو عندما يتحدث في وقت غير مناسب وكذلك عندما يتخاصم شخصان فيقول أحدهما ( ورى ماتعض على شحمه ؟ ),Central,"المهمة: املأ الفراغ بالعبارة المناسبة.
السؤال: في موقف يتخاصم فيه شخصان، قد يُقال لأحدهما: 'ورى ما ____ على شحمه؟'
الخيارات:
أ) ترد
ب) تعقد
ج) تعض
د) تقرأ",ج
أدّيلو علقة, يعني أضربو اوعاقبه,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: قال الأب: لو ما التزم، ______.
الخيارات:
أ) شرواك الطيب
ب) أدّيلو علقة
ج) يا مال العافية
د) بلا بكش",ب
بس داويه,بس بلا ازعاج,Southern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: تفضلوا، سووا اللي تبغونه ____ بدون إزعاج.
الخيارات:
أ) بس داويه
ب) اندر بره
ج) زبد له
د) سامج",أ
علة باطنية,تنطق عادة بالتنوين (علتن باطنية) تقال للشخص الثقيل جدا والمزعج. صعب المراس الذي دائما يعترض ولا يتقبل أي شيء.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: فلان ______ باطنية. الله يعينا عليه.
الخيارات:
أ) شخص
ب) علة
ج) ثقيل
د) مزعج",ب
على اسرك,(عند أهل السراة): على اسرك: تنطق عَلَسْرِِكْ: تخفيف من اللغة الفصيحة على رِسْلِكْ، وهي بمعنى على مهلك، لا تتعجل. مرادفات: على هونك.,Southern,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يقال 'امش __________' بمعنى على مهلك.
الخيارات:
أ) بسرعه
ب) على اسرك
ج) في العجالة
د) مستقيم
الإجابة الصحيحة:",
على راسك ريش,يقال بدلا من (لا، لا يمكنك فعل ذلك) و هو من الإستنكار و أحيانا السخرية و هو دائما استفهام.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما قال لها 'اجلسي و كلي، إيش ______ راسك ريش؟'، كانت الأم تعبر عن الاستنكار.
الخيارات:
أ) على
ب) في
ج) فوق
د) يرجى",أ
على شحم,بمعنى اسكت او نقطنا بسكاتك,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال أحدهم 'اسكت _______'، فإنه يقصد بهذا أن يتوقف الشخص عن الكلام.
الخيارات:
أ) على شحم
ب) في سراحه
ج) مع أهله
د) يا قلبي",أ
تراني طفران,بمعنى انا مفلس ماعندي فلوس ,General,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: لا تطلبني شي هاليومين، __________ من جد!
الخيارات:
أ) تراني طفران
ب) ما لي خلق
ج) أنت كريم
د) عطيتك أمس",أ
على لبن ملموذه,تستخدم عندما نريد أن نقول أن شخصين على خلاف مع بعضهما البعض، وأن العلاقة بينهما ليس جيده أبداً.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يكون محمد و خالد _____، هذا يعني أن العلاقة بينهما ليست جيدة.
الخيارات:
أ) على لبن ملموذه
ب) في خير
ج) متفاهمين
د) أصدقاء",أ
على مثل راس القوطي,تقال عند سب وشتم رجل قدره لا يصل ان يقدم له قطعه كبيره  بل قطعه صغيره بحجم غطاء قارورة الماء,General,"المهمة: أكمل الفراغ بالجملة المناسبة.
السؤال: تستخدم العبارة 'على مثل راس القوطي' لوصف ________.
الخيارات:
أ) الشخص الجليل
ب) الشخص الضعيف
ج) الشخص النبيل
د) الشخص القوي",ب
اشرب بشويش,معناها اشرب ببطئ,Southern,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: لا تتهور، ترى المعدة فاضية، __________
الخيارات:
أ) اشرب بشويش
ب) كل بسرعة
ج) عطها صوت
د) خلص القهوة",أ
علي بالملازيم!,أسلوب نذر. وتعني أنني سأقوم بالواجب وحق الضيافة، ولن يذهب الضيف الا وهو مكرم.,General,"المهمة: أكمل الجملة التالية بالعبارة المناسبة.
السؤال: عندما يزورني أحد الأصدقاء، أقول له '____ بالملازيم!'.
الخيارات:
أ) أعتذر عن ضيافتك
ب) سآخذك في جولة
ج) علي بالملازيم
د) سأكون مشغولاً",ج
علي ما علي,علي ما علي بلهجة أهل تبوك، تظهر عندما يغضب الشخص ويستنكر أمراً ما ومن ثم يبدأ يتوعد وينذر أنه لو حدث شيء كهذا تالله لن تمر بسلام!,Northern,"المهمة: املأ الفراغ بالتعبير المناسب.
السؤال: عندما تأخر صديقي في الحضور، بدأت أشعر أنني سأقول له: '_______'.
الخيارات:
أ) علي ما علي
ب) كل شيء تمام
ج) مرحبا بك
د) كيف حالك",أ
عمر عامر مات ي بطل,وتنقال للي يسوي قوي المقصود فيها عمر عامر القرشي رحمه الله راقص المزمار المشهور,Central,"المهمة: أكمل الجملة التالية.
السؤال: عبارة 'عمر عامر مات ي بطل' تستخدم لوصف ___ في اللهجة السعودية.
الخيارات:
أ) شخص قوي
ب) حادثة بسيطة
ج) شيء مضحك
د) مناسبة سعيدة",أ
عنز ولو طارت,إذا أصر أحدهم وتمسك برأيه حتى ولو كان أمراً مستحيلاً لايمكن وقوعه,Central,"المهمة: أكمل الجملة التالية.
السؤال: تعني عبارة 'عنز ولو طارت' أن الشخص ________ برأيه.
الخيارات:
أ) يتردد
ب) يصر
ج) يستسلم
د) يتنازل",ب
عنك او عن رجآل.؟,عبارة بدوية قديمة، تعني، هل أنت كفؤ لهذه المهمة، أما هنالك من أكفأ منك؟ ويكون الرد بهذه الطريقة (عني وانا رجآل) وتعني أنا لها وأنا رجل.,Central,"المهمة: املأ الفراغ بما يناسب.
السؤال: تستخدم عبارة 'عنك او عن رجآل.؟' للسؤال عن _____ الشخص.
الخيارات:
أ) كفاءته
ب) عمره
ج) ثقافته
د) مكان إقامته",أ
عود جاي,هي كلمة عربية في معناها فكلمة عود موجودة في لسان الصحاح بعاد إِليه يَعُودُ عَوْدَةً وعَوْداً: رجع اي بمعنى رجع إليه ومعنى جاي مأخوذة من مجيئ اي جاء إلي ومعنى عود جاي : اي ارجع إلي هذه الكلمة موجودة عند عوام القبائل السعودية وخاصة النجدية وهي كلمة قد اندثرت في وقتنا الحاضر,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول لأصدقائي 'عود جاي'، أعني ______.
الخيارات:
أ) اذهب بعيدًا
ب) ارجع هنا
ج) اجلس بعيدًا
د) اترك المكان",ب
حست مريري,حست تسبدي: أي عكرت مزاجي .,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة (لهجة).
السؤال: تصرفه المستفز _______ وما خلاني أرتاح.
الخيارات:
أ) فرّحني
ب) حسّ مريري
ج) شجعني
د) ريّحني",ب
إيش فيك مِتْنَح؟,تُقال للشخص الذي لا يستوعب الكلام أو يتظاهر بعدم الفهم.,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (لهجة).
السؤال: لما كلمته أكثر من مرة وما رد، قلت له: «إيش فيك ______؟»
الخيارات:
أ) فاهم
ب) متنح
ج) ذكي
د) نشيط",ب
عيشة ولد,تطلق تلعب الفتاة التي تلعب مع الصبيان,Western,"المهمة: أكمل الجملة التالية.
السؤال: العبارة 'عيشة ولد' تعني أن الفتاة _______.
الخيارات:
أ) تحب اللعب مع الأولاد
ب) لا تلعب مع أحد
ج) تدرس في المدرسة
د) تعمل في السوق",أ
غاسل يدي منو,تستخدم هذي العبارة لي تعبر عن شخص أو فعل عمله شخص قد خيب أملك,Western,"المهمة: أكمل الفراغ باستخدام الكلمة المناسبة.
السؤال: أنا _____ من محمد بسبب ما فعله.
الخيارات:
أ) غاسل يدي
ب) مسرور
ج) أساعد
د) أشكر",أ
لا تِسوي فيها,"عبارة شهيرة بمعنى ""لا تتصنع"" أو لا تدعي صفة ليست فيك (هياط حجازي).",Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (لهجة).
السؤال: لما بدأ يتباهى بشيء مو حقيقي، قلت له: «لا ______ فيها».
الخيارات:
أ) تمشي
ب) تسوي
ج) تجلس
د) تفكر",ب
غسل شراع,غسل شراع: تعني أن شخصاً لقن الآخر درساً قاسياً بطريقة تعنفية أو بالضرب أو بالكلام. طالع نسف جبهه,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما واجه المذيع موقفاً صعباً، قام الضيف _____ شراعه.
الخيارات:
أ) بغسل
ب) بتنظيف
ج) بمساعدة
د) بإصلاح",أ
فاصخ عقله,تقال للانسان الذي يفعل الاشياء بدون استخدام عقله و تكون تصرفاته اقرب للمجنون منه للعاقل.,General,"المهمة: أكمل الجملة بما يناسب:
السؤال: إذا رأيت شخصاً يفعل أشياء غريبة، يمكنك أن تقول عنه أنه __________.
الخيارات:
أ) عاقل
ب) فاصخ عقله
ج) ذكي
د) متفهم",ب
فاهمني والله العظيم,عندما اتحدث عن موضوع ما مع شخص اخر، ولاحظة الشخص يفهم على حديثي ، في هذه الحظه اقول له (فاهمني والله العظيم),Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول لشخص 'فاهمني والله العظيم'، فهذا يعني أن لديه صفة  _______.
الخيارات:
أ) الانتباه
ب) الإسهاب في الحديث
ج) كثرة الكلام
د) عدم الاكتراث",أ
سيبك منو,سيبك : اتركه منو : هو,Western,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: في الجملة 'يوآد يا محمد بلا بهلله، _______ منو'، ما الكلمة المناسبة لملء الفراغ؟
الخيارات:
أ) اتركه
ب) خذها
ج) ذهبت
د) اجلس",أ
فعشني,"من ""الفعش"" وهو ""شد الشعر"" بعنف",Central,"المهمة: إكمال الجملة بالكلمة الصحيحة.
السؤال: عندما كان محمد غاضبًا من بيان، ____________ شعرها.
الخيارات:
أ) فاحتفل
ب) فعشني
ج) ضحك
د) رقص",ب
فقع,هرب من شيء يتعبه,Western,"المهمة: أكمل الجملة بالمعنى المناسب.
السؤال: عندما يشعر الموظف بالتعب، قد يختار أن _____ بدلاً من الاستمرار في العمل.
الخيارات:
أ) يأخذ قسطًا من الراحة
ب) فقع
ج) ينظم محاضرة
د) يتحدث مع الزملاء",ب
اقظب الوطا,اقظب الارض,Northern,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير لهجي).
السؤال: وهو ينزل من المكان المرتفع قالوا له: ____ لا تطيح.
الخيارات:
أ) اقظب الوطا
ب) اندر بره
ج) زبد له
د) سامج",أ
دز امها,تأتي بمعنى اغرب عن وجهي < اهم شي,Western,"المهمة: اختر الإجابة الصحيحة فقط بدون ملاحظات إضافية. 
السؤال: دز امها________. 
الخيارات: 
A) ما أبيك
B) تعال 
C) انتظر 
D) اسمع",A
في الخيشة,هي عبارة تدل على أن الشخص لا يعلم ما يدور حوله من أحداث,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: يستخدم الناس عبارة ""في الخيشة"" لوصف شخص عن الأحداث المحيطة به. 
الخيارات: 
A) يدرك 
B) غافل 
C) مستمع 
D) مشغول",B
في خشمك عرام,اي في انفك تبن لكي تحكه,Central,"المهمة: أكمل العبارة بما يناسب.
السؤال: تقول العبارة 'في خشمك _______' لوصف شيء غير مرغوب فيه.
الخيارات:
أ) عرام
ب) شجرة
ج) سماء
د) جمل",أ
في ذاك,أي بمعنى هناك,Central,"المهمة: أكمل الفراغ في الجملة التالية.
السؤال: في ذاك _____ يعني هناك.
الخيارات:
أ) تعبير
ب) مصطلح
ج) كلمة
د) جملة",ب
يا مال العافية,دعاء بالصحة الجيدة.,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير دعائي).
السؤال: بعد ما أنهى عمله وتعب، تقول له: ""_____"".
الخيارات:
أ) بدري عليك
ب) عطنا الزبدة
ج) يا مال العافية
د) بلا بكش",ج
فين أصرفها ؟,"غالبا تستخدم بمعنى ""عذرك غير مقبول"" . وتستخدم أحيانا كتبيين للطرف الآخر في الحوار أنك لا تصدق كلامه .",Western,"المهمة: أكمل الجملة بالتعبير المناسب.
السؤال: عبارة 'فين أصرفها ؟' تعني أن _____ غير مقبول.
الخيارات:
أ) عذرك
ب) الوقت
ج) الكلام
د) الأمل",أ
قاعد يمشي,يظن البعض عند سماع هذه العبارة أن المتحدث يحاول إلقاء دعابة أو أنه في ليس في كامل قواه العقلية حيث أنه من المستحيل على قيام نشاطين مختلفين في الاتجاه في نفس الوقت. ولكن المعنى أنه يقوم بعملية المشي.,Western,"المهمة: أكمل الجملة باستخدام العبارة المناسبة.
السؤال: أنا _____ عند الجبل.
الخيارات:
أ) قاعد يمشي
ب) جالس أستريح
ج) ركضت بسرعة
د) أعد أصدقائي",أ
قافلة معي,يعني المزاج غير رايق أو غضبان أو زعلان,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يسألني أحدهم عن حالتي، أقول له إنني _____  قافلة معي.
الخيارات:
أ) زعلان
ب) سعيد
ج) مبتسم
د) نشيط",أ
إنتخشوا عينك,دعاء على الشخص بأن يقتلع الجن عينه أعاذنا الله وإياكم يستخدم هذا المصطلح غالبا في المنطقة الجنوبية من السعودية,Southern,"المهمة: أكمل الجملة بما يناسب.
السؤال: عندما رأى الشخص يسرق نظره، قال له: '_________'.
الخيارات:
أ) إنتخشوا عينك
ب) حياك الله
ج) تفضل
د) ما تشوف شر",أ
قصعة تشيلك,فصعة تشيلك : تمني الحظ السيء أن يصيبك أو ان ينتهي ماتتمناه بالفشل. وتقال رداً على الرفض وعند القهر.,Central,"المهمة: أكمل العبارة بالاختيار الصحيح.
السؤال: تستخدم عبارة 'قصعة تشيلك' عندما ____ .
الخيارات:
أ) يتمنى الشخص الحظ السيء
ب) يشعر الشخص بالسعادة
ج) ينهي الشخص محادثة
د) يسافر الشخص إلى الخارج",أ
قطعي شطاياه بالمطرق,تعني ايتها الأم اضربي ابنك بالعصا على مؤخرته (اردافه) بالعصا (الخيزران) كعقاب له لتأديبه و هي نصيحة متداولة بين الامهات التحديات في السعودية,Central,"المهمة: أكمل الفراغ في الجملة الآتية.
السؤال: تستخدم الأم عبارة 'قطعي شطاياه بالمطرق' كأحد وسائل __________ في تأديب أبنائها.
الخيارات:
أ) الثواب
ب) العقاب
ج) التشجيع
د) المكافأة",ب
قعيطي,الشخص البخيل,Central,"المهمة: إكمال الفراغ في الجملة التالية بكلمة 'قعيطي'.
السؤال: عندما يأخذ الشخص كل شيء لنفسه ولا يشارك حتى مع أصدقائه، نقول عنه إنه ______.
الخيارات:
أ) حبوب
ب) طيب
ج) قعيطي
د) عاقل",ج
قل تم,وافق على ماطلبت! ويرد الموافق على الطلب بتم اي تم مطلبك ووصلت لغايتك,General,"المهمة: استخدم العبارة المناسبة لملء الفراغ.
السؤال: عندما يوافق أحدهم على الطلب، يقول __________.
الخيارات:
أ) قل لا
ب) قل تم
ج) قل ممكن
د) قل ما أدري",ب
قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!,تصريفة لتصريف الشخص منك وتقال عندما تكون في جو مباراة كرة القدم ويحاول احدهم ان يأخذ محلك!,Western,"المهمة: املأ الفراغ بالعبارة المناسبة.
السؤال: التعبير 'قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!' يشير إلى ______.
الخيارات:
أ) الدعم الرياضي
ب) التصريف والرفض
ج) الثقة في النفس
د) طلب المساعدة",ب
قلعة وادرين,أي قي مكان بعيد جدا,Northern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم عبارة 'قلعة وادرين' للإشارة إلى مكان ______.
الخيارات:
أ) بعيد
ب) عابر
ج) مشهور
د) فارغ",أ
قليل الخاتمة,صفة يتصف بها الوقح الحقير.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الشخص الذي يتصف بأنه 'قليل الخاتمة' هو شخص _____ .
الخيارات:
أ) محترم
ب) وقح
ج) طيب
د) معطاء",ب
يبرز به,يقوله له كلام خاص او سر,Southern,"المهمة: قم بملء الفراغ بالعبارة المناسبة (تعبير لهجي).
السؤال: لا تقول قدامهم، خلّك ____ لحالك.
الخيارات:
أ) تبرز به
ب) زبد له
ج) اندر بره
د) سامج",أ
كاسر اللمبة,هي صفة تطلق على الشخص الضايع الذي لا يهتم للعواقب.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: شخص 'كاسر اللمبة' غالباً ما يكون ______.
الخيارات:
أ) عاقلاً
ب) ضايعاً
ج) حذراً
د) مجتهداً",ب
كان بمسمع منك,هذا التعبير يستخدم اذا كان الرجل قريبا ويسع له السماعة بالسهولة,Western,"المهمة: إكمال الجملة باستخدام التعبير الصحيح.
السؤال: عندما تحدثت مع زميلي، كان والدي _____ مني.
الخيارات:
أ) بمسمع
ب) بعيد
ج) غائب
د) مشغول",أ
كاي,تعني شيئ مضحك، و قد تستخدم كصفة أيضا.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'إنت مرة _____' فإنني أعبر عن شيء مضحك.
الخيارات:
أ) كاي
ب) حزين
ج) جميل
د) عادي",أ
كبر البعير,بمعنى كبير الحجم,Central,"المهمة: املأ الفراغ بما يناسب المعنى.
السؤال: العبارة 'كبر البعير' تعني أن الجمل _____ الحجم.
الخيارات:
أ) صغير
ب) كبير
ج) ضعيف
د) نشيط",ب
كبر المخدة,اي انه يجهز في النوم و فإنة يغط في سبات عمييق,Western,"المهمة: اكمل الفراغ بما يناسب.
السؤال: عندما __________ المخدة، يشعر الشخص بالنعاس.
الخيارات:
أ) يركض
ب) يكبر
ج) يتحدث
د) يأكل",ب
كبس,بمعني راح تاكل تراب,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما قال لي 'كبس'، فهمت أنه يعني _____.
الخيارات:
أ) سأسافر
ب) سأكل تراب
ج) سأذهب للبيت
د) سأشتري طعام",ب
كبيت العشا,عندما تتحدث بأمر من المفترض أن لا تتحدث عنه . أي أنك أفشيت سراً من غير قصد فكبيت العشا.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: 'كبيت العشا' تعني أنك ______ عن أمر يجب أن تبقيه سراً.
الخيارات:
أ) تحدثت
ب) أخذت
ج) كتبت
د) لاحظت",أ
في قلب العدو,تقال عند ذكر أمر سيء,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة (تعبير يُقال عند ذكر أمر سيّئ).
السؤال: قالوا إن الحادث كان خطير، فقلت: ""_____"".
الخيارات:
أ) شرواك الطيب
ب) في قلب العدو
ج) بدري عليك
د) يا مال العافية",ب
كريم عين,وصف مؤدب للشخص الأعور (الذي فقد إحدى عينيه),Central,"المهمة: أكمل الجملة التالية.
السؤال: أبو سليمان يُعتبر _____ لأن لديه عين واحدة.
الخيارات:
أ) رائع
ب) كريم عين
ج) لطيف
د) جذاب",ب
كسر عين,كسر عين: عبارة مهينة تستخدم للحط من قدر شخصاً ما. ,Central,"المهمة: املأ الفراغ بما يناسب.
السؤال: عبارة 'كسر عين' تعني ____ لشخص آخر.
الخيارات:
أ) تقدير
ب) إهانة
ج) احترام
د) مساعدة",ب
