Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
علة باطنية,تنطق عادة بالتنوين (علتن باطنية) تقال للشخص الثقيل جدا والمزعج. صعب المراس الذي دائما يعترض ولا يتقبل أي شيء.,Central,"المهمة: اختر الجملة المناسبة التي تستخدم فيها 'علة باطنية'.
السؤال: أي الجمل التالية تستخدم 'علة باطنية' بشكل صحيح؟
الخيارات:
أ) فلان علة باطنية، يسعدني الحديث معه.
ب) علة باطنية ليست تحفة.
ج) أحتاج لمساعدة من علة باطنية.
د) فلان علة باطنية، الله يعينا عليه.",د
على اسرك,(عند أهل السراة): على اسرك: تنطق عَلَسْرِِكْ: تخفيف من اللغة الفصيحة على رِسْلِكْ، وهي بمعنى على مهلك، لا تتعجل. مرادفات: على هونك.,Southern,"المهمة: اختر الجملة التي تُستخدم فيها العبارة 'على اسرك' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام صحيح للعبارة؟
الخيارات:
أ) علي امشي على اسرك
ب) علي اركض بسرعة
ج) علي اسرح في الفضاء
د) علي اجلس هنا
الإجابة الصحيحة:",
على راسك ريش,يقال بدلا من (لا، لا يمكنك فعل ذلك) و هو من الإستنكار و أحيانا السخرية و هو دائما استفهام.,Central,"المهمة: اختر السياق المناسب لاستخدام العبارة.
السؤال: في أي موقف يفضل استخدام العبارة 'على راسك ريش'؟
الخيارات:
أ) عند قبول فكرة
ب) عند رفض طلب صديق
ج) عند التعاطف مع شخص
د) عند إبداء المساعدة",ب
على شحم,بمعنى اسكت او نقطنا بسكاتك,Central,"المهمة: اختر الجملة التي تُستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تُظهر استخداماً صحيحاً لعبارة 'على شحم'؟
الخيارات:
أ) أبوي المسلسل ماهو حلو غيره؟ اسكت على شحم
ب) أحب أن أذهب للسوق بعد الظهر
ج) متى تطلع الإجازة؟
د) هذه الشجرة جميلة جداً",أ
تراني طفران,بمعنى انا مفلس ماعندي فلوس ,General,"المهمة: اختر الخيار الذي يمثل الاستخدام السياقي الصحيح لعبارة 'تراني طفران'.
السؤال: متى من المناسب أن تقول ""تراني طفران""؟
الخيارات:
أ) إذا طلب منك أحد سلفة أو عشاء
ب) عند حضور اجتماع رسمي
ج) بعد استلام الراتب
د) عند تهنئة صديق",أ
على لبن ملموذه,تستخدم عندما نريد أن نقول أن شخصين على خلاف مع بعضهما البعض، وأن العلاقة بينهما ليس جيده أبداً.,General,"المهمة: اختر الجملة الصحيحة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'على لبن ملموذه' بشكل صحيح؟
الخيارات:
أ) اليوم أنا و زميلي على لبن ملموذه.
ب) الجو جميل و نتمشى مع بعض.
ج) هم يعملون معًا بشكل رائع.
د) لم نسمع عن أي خلاف.",أ
على مثل راس القوطي,تقال عند سب وشتم رجل قدره لا يصل ان يقدم له قطعه كبيره  بل قطعه صغيره بحجم غطاء قارورة الماء,General,"المهمة: حدد الاستخدام المناسب للعبارة.
السؤال: في أي موقف قد تقول 'على مثل راس القوطي'؟
الخيارات:
أ) عند مدح شخص
ب) عند انتقاد شخص قليل القيمة
ج) عند نقاش حول العلم
د) عند التحفيز على الإنجاز",ب
اشرب بشويش,معناها اشرب ببطئ,Southern,"المهمة: في أي سياق تستخدم العبارة بشكل صحيح
السؤال: متى يكون من المناسب أن تقول ""اشرب بشويش""؟
الخيارات:
أ) إذا شرب شخص بسرعة وقد يتضرر
ب) عند تقديم نصيحة عن العمل
ج) عند بداية اجتماع
د) أثناء استلام طرد",أ
علي بالملازيم!,أسلوب نذر. وتعني أنني سأقوم بالواجب وحق الضيافة، ولن يذهب الضيف الا وهو مكرم.,General,"المهمة: اختر الاستخدام الصحيح للعبارة 'علي بالملازيم!'.
السؤال: في أي سياق يجوز استخدام العبارة 'علي بالملازيم!'؟
الخيارات:
أ) في حديث غير رسمي بين الأصدقاء
ب) أثناء اجتماع رسمي
ج) في تقديم واجب الضيافة
د) عند استلام طلبية",ج
علي ما علي,علي ما علي بلهجة أهل تبوك، تظهر عندما يغضب الشخص ويستنكر أمراً ما ومن ثم يبدأ يتوعد وينذر أنه لو حدث شيء كهذا تالله لن تمر بسلام!,Northern,"المهمة: اختر الجملة التي تستخدم التعبير 'علي ما علي' بالشكل الصحيح.
السؤال: أي من الجمل التالية تستخدم تعبير 'علي ما علي' بشكل صحيح؟
الخيارات:
أ) لا أريد الذهاب، علي ما علي.
ب) علي ما علي، سأعمل بجد.
ج) علي ما علي، لو حصل شيء تأكد أني سأتصرف.
د) أنا سعيد، علي ما علي.",ج
عمر عامر مات ي بطل,وتنقال للي يسوي قوي المقصود فيها عمر عامر القرشي رحمه الله راقص المزمار المشهور,Central,"المهمة: حدد السياق الصحيح الذي يمكن استخدام العبارة فيه.
السؤال: في أي سياق يمكن أن تستخدم عبارة 'عمر عامر مات ي بطل'؟
الخيارات:
أ) أثناء الحديث عن شخصيات تاريخية
ب) في مناسبة فرح
ج) في سياق الحديث عن شخصية رياضية
د) أثناء الحديث عن وفاة شخص معروف",د
عنز ولو طارت,إذا أصر أحدهم وتمسك برأيه حتى ولو كان أمراً مستحيلاً لايمكن وقوعه,Central,"المهمة: اختر الجملة التي تحتوي على عبارة 'عنز ولو طارت' في سياقها الصحيح.
السؤال: أي من الجمل التالية تستخدم العبارة بشكل صحيح؟
الخيارات:
أ) قررت أن أستمر في دراستي، مهما كانت التحديات، فأنا أقول 'عنز ولو طارت'.
ب) سمعت عن الفيلم الجديد، لكنه لم ينل إعجابي، قلت 'عنز ولو طارت'.
ج) كنت ألعب مباراة كرة القدم وكان الجو جميل، قلت 'عنز ولو طارت'.
د) طورت مشروعاً جديداً، ولا أهتم برأي الآخرين، 'عنز ولو طارت'.",أ
عنك او عن رجآل.؟,عبارة بدوية قديمة، تعني، هل أنت كفؤ لهذه المهمة، أما هنالك من أكفأ منك؟ ويكون الرد بهذه الطريقة (عني وانا رجآل) وتعني أنا لها وأنا رجل.,Central,"المهمة: اختر الاستخدام الصحيح لعبارة 'عنك او عن رجآل.؟' في السياق.
السؤال: في أي موقف قد تسمع عبارة 'عنك او عن رجآل.؟'؟
الخيارات:
أ) أثناء تقديم المساعدة
ب) في مناقشة حول كرة القدم
ج) عند طلب رأي أحدهم حول موضوع وثقافة
د) في حفل زفاف",أ
عود جاي,هي كلمة عربية في معناها فكلمة عود موجودة في لسان الصحاح بعاد إِليه يَعُودُ عَوْدَةً وعَوْداً: رجع اي بمعنى رجع إليه ومعنى جاي مأخوذة من مجيئ اي جاء إلي ومعنى عود جاي : اي ارجع إلي هذه الكلمة موجودة عند عوام القبائل السعودية وخاصة النجدية وهي كلمة قد اندثرت في وقتنا الحاضر,Central,"المهمة: اختر السياق الأنسب لاستخدام عبارة 'عود جاي'.
السؤال: في أي موقف يمكن استخدام عبارة 'عود جاي'؟
الخيارات:
أ) عندما تودع صديقك
ب) عندما تفقد أحدهم في التجمع
ج) عندما تتحدث عن الذكريات
د) عندما تسأل عن صحة شخص ما",ب
حست مريري,حست تسبدي: أي عكرت مزاجي .,Central,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام الكلمة في سياق مناسب.
السؤال: أي الجمل التالية تُظهر الاستخدام الصحيح لعبارة «حسّت مريري»؟
الخيارات:
أ) حسّت مريري يوم سمعت الخبر المفرح
ب) تصرفه اليوم حسّ مريري وخرب عليّ المزاج
ج) حسّت مريري لأنه قدمني للناس
د) حسّت مريري وقت الضحك",ب
إيش فيك مِتْنَح؟,تُقال للشخص الذي لا يستوعب الكلام أو يتظاهر بعدم الفهم.,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام العبارة في سياق مناسب.
السؤال: أي الجمل التالية تُظهر الاستخدام الصحيح لعبارة «إيش فيك متنح؟»؟
الخيارات:
أ) إيش فيك متنح؟ فهمت الشرح من أول مرة
ب) شرحت له الموضوع أكثر من مرة وقلت له: إيش فيك متنح؟
ج) إيش فيك متنح؟ الله يعطيك العافية
د) إيش فيك متنح؟ يوم النجاح",ب
عيشة ولد,تطلق تلعب الفتاة التي تلعب مع الصبيان,Western,"المهمة: اختر الاستخدام الصحيح للعبارة 'عيشة ولد' في سياق مناسب.
السؤال: أي من الجمل التالية تستخدم عبارة 'عيشة ولد' بشكل صحيح؟
الخيارات:
أ) البنت تحب 'عيشة ولد' وتلعب مع الأولاد.
ب) 'عيشة ولد' هو اسم فنان مشهور.
ج) أذهب إلى المطعم لنأكل 'عيشة ولد'.
د) 'عيشة ولد' فكرة مغلوطة.",أ
غاسل يدي منو,تستخدم هذي العبارة لي تعبر عن شخص أو فعل عمله شخص قد خيب أملك,Western,"المهمة: اختر الفرق السياقي الصحيح لاستخدام العبارة.
السؤال: في أي سياق يمكن استخدام عبارة 'غاسل يدي منو' بشكل صحيح؟
الخيارات:
أ) عندما تشكر أحد على مساعدته.
ب) عندما تشعر بخيبة أمل من تصرف شخص ما.
ج) عندما تقابل صديق قديم.
د) عندما ترغب في الاعتذار لشخص ما.",ب
لا تِسوي فيها,"عبارة شهيرة بمعنى ""لا تتصنع"" أو لا تدعي صفة ليست فيك (هياط حجازي).",Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام العبارة في سياق مناسب.
السؤال: أي الجمل التالية تُظهر الاستخدام الصحيح لعبارة «لا تسوي فيها»؟
الخيارات:
أ) لا تسوي فيها وانت ساعدت الكل
ب) لا تسوي فيها وانت ما قد جرّبت الشي هذا
ج) لا تسوي فيها الله يوفقك
د) لا تسوي فيها وقت الفرح",ب
غسل شراع,غسل شراع: تعني أن شخصاً لقن الآخر درساً قاسياً بطريقة تعنفية أو بالضرب أو بالكلام. طالع نسف جبهه,General,"### نوع السؤال: الاستخدام السياقي
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: أي من الجمل التالية يستخدم فيها التعبير ""غسل شراع"" بشكل طبيعي؟ 
الخيارات: 
A) درس المعلم الطلاب بطريقة لطيفة. 
B) بعد النقاش، اتضح أن الضيف غسل شراع المذيع. 
C) قام الرجل بمساعدة جاريه في إنهاء أعمالهم. 
D) تمت الدعوة إلى حفل جميل في الصحراء.",B
فاصخ عقله,تقال للانسان الذي يفعل الاشياء بدون استخدام عقله و تكون تصرفاته اقرب للمجنون منه للعاقل.,General,"المهمة: اختر السياق المناسب للاستخدام في الجملة التالية:
السؤال: في محادثة بين الأصدقاء، يعد ""فاصخ عقله"" تعبيرًا عن:
الخيارات:
أ) الإعجاب
ب) النقد
ج) السخرية
د) التعاطف",ب
فاهمني والله العظيم,عندما اتحدث عن موضوع ما مع شخص اخر، ولاحظة الشخص يفهم على حديثي ، في هذه الحظه اقول له (فاهمني والله العظيم),Western,"المهمة: اختر الاستخدام الأنسب لعبارة 'فاهمني والله العظيم' في جملة.
السؤال: أي من الجمل التالية تستخدم 'فاهمني والله العظيم' بشكل صحيح؟
الخيارات:
أ) أنا أكرهك ، فاهمني والله العظيم
ب) قاعد أشتغل، فاهمني والله العظيم
ج) أنت ذكي ، فاهمني والله العظيم
د) أنا غبي، فاهمني والله العظيم",ج
سيبك منو,سيبك : اتركه منو : هو,Western,"المهمة: حدد السياق الذي يمكن أن تستخدم فيه كلمة 'سيبك منو'.
السؤال: في أي حالة يمكن أن تقول 'سيبك منو'؟
الخيارات:
أ) عندما تريد الإشارة إلى شخص تنصحه بالابتعاد
ب) عندما تتحدث عن مطعم جديد
ج) عندما تسأل عن الطقس
د) عندما تناقش مشروع دراسي",أ
فعشني,"من ""الفعش"" وهو ""شد الشعر"" بعنف",Central,"المهمة: تحديد السياق المناسب لاستخدام الكلمة.
السؤال: في أي سياق تستخدم كلمة 'فعشني'؟
الخيارات:
أ) في مناسبة سعيدة
ب) عند الشجار
ج) في الدراسة
د) أثناء تناول الطعام",ب
فقع,هرب من شيء يتعبه,Western,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'فقع' بشكل صحيح.
السؤال: أي من الجمل التالية يستخدم كلمة 'فقع' بشكل صحيح؟
الخيارات:
أ) عندما جاء المدير، بدأنا نفقع
ب) الجار يحب أن يفقع في الحدائق
ج) الفلاح زرع الشجر و نفقع عليه
د) صديقنا فقع بالأمس للعمل",أ
اقظب الوطا,اقظب الارض,Northern,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (اقظب الوطا) استخدامًا صحيحًا؟
الخيارات:
أ) لا تزلق، اقظب الوطا زين
ب) اقظب الوطا في التقرير
ج) اقظب الوطا أثناء كتابة البحث
د) اقظب الوطا في الخطاب الرسمي",أ
دز امها,تأتي بمعنى اغرب عن وجهي < اهم شي,Western,"المهمة: اختر الإجابة الصحيحة فقط بدون ملاحظات إضافية. 
السؤال: أي من الجمل التالية تحتوي على كلمة ""دز امها"" بشكل طبيعي؟ 
الخيارات: 
A) أصحابي دز امها إلى منزلي. 
B) زرت المعرض اليوم. 
C) رائد: دز امها ماتهمني. 
D) اشتريت دز امها.",C
في الخيشة,هي عبارة تدل على أن الشخص لا يعلم ما يدور حوله من أحداث,Central,"المهمة: حدد الاستخدام الصحيح لعبارة 'في الخيشة' في السياق.
السؤال: في أي سياق يمكن استخدام عبارة 'في الخيشة'؟
الخيارات:
أ) عند الحديث عن إنجازات شخص ما
ب) عند وصف حالة شخص جاهل بما يدور حوله
ج) عند تقديم نصيحة
د) عند الاعتذار لشخص",ب
في خشمك عرام,اي في انفك تبن لكي تحكه,Central,"المهمة: اختر الجملة التي تستخدم العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على العبارة بشكل طبيعي؟
الخيارات:
أ) في خشمك عرام يا منار
ب) أحب المشي في الصباح
ج) السماء زرقاء
د) أدرس في المكتبة",أ
في ذاك,أي بمعنى هناك,Central,"المهمة: حدد الاستخدام الصحيح لعبارة 'في ذاك' في سياق الجملة.
السؤال: أي من الجمل التالية تستخدم 'في ذاك' بشكل صحيح؟
الخيارات:
أ) رحت في ذاك
ب) أشرب في ذاك
ج) اقرأ في ذاك
د) أكتب في ذلك",أ
يا مال العافية,دعاء بالصحة الجيدة.,General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (يا مال العافية) استخدامًا صحيحًا؟
الخيارات:
أ) يا مال العافية، ما قصرت
ب) يا مال العافية في التقرير
ج) يا مال العافية أثناء الاجتماع
د) يا مال العافية في النظام",أ
فين أصرفها ؟,"غالبا تستخدم بمعنى ""عذرك غير مقبول"" . وتستخدم أحيانا كتبيين للطرف الآخر في الحوار أنك لا تصدق كلامه .",Western,"المهمة: حدد السياق الصحيح لاستخدام التعبير 'فين أصرفها ؟'.
السؤال: في أي سياق يُستخدم التركيب 'فين أصرفها ؟'؟
الخيارات:
أ) عندما يُقابل الشخص بموقف إيجابي.
ب) عندما تكون هناك حاجة للاعتذار.
ج) عندما يكون المعتذر غير مقنع.
د) عندما تتحدث عن خطط سفر.",ج
قاعد يمشي,يظن البعض عند سماع هذه العبارة أن المتحدث يحاول إلقاء دعابة أو أنه في ليس في كامل قواه العقلية حيث أنه من المستحيل على قيام نشاطين مختلفين في الاتجاه في نفس الوقت. ولكن المعنى أنه يقوم بعملية المشي.,Western,"المهمة: اختر ejemplo من الاستخدام الصحيح للعبارة.
السؤال: أي من العبارات التالية يستخدم 'قاعد يمشي' بشكل صحيح؟
الخيارات:
أ) دشينا السوق، قاعد يمشي بين المحلات.
ب) الأجواء حارة جدًا اليوم.
ج) فلان يحب الكورة.
د) أنا ساكن هنا.",أ
قافلة معي,يعني المزاج غير رايق أو غضبان أو زعلان,Western,"المهمة: اختر السياق المناسب عبارة 'قافلة معي'.
السؤال: أي من العبارات التالية تُظهر الاستخدام الصحيح لعبارة 'قافلة معي''؟
الخيارات:
أ) اليوم الجو رائع وأنا قافلة معي
ب) جاء الخبراء قافلة معي لإصلاح الآلات
ج) يبدو أن خالد قافلة وعليه الذهاب لراحتك
د) محمد : وش فيك ؟ حمد : وخر عني تراها قافلة معي",د
إنتخشوا عينك,دعاء على الشخص بأن يقتلع الجن عينه أعاذنا الله وإياكم يستخدم هذا المصطلح غالبا في المنطقة الجنوبية من السعودية,Southern,"المهمة: اختر الجملة المناسبة التي تُظهر سياق استخدام عبارة 'إنتخشوا عينك'.
السؤال: أي من الجمل التالية يستخدم تعبير 'إنتخشوا عينك' بشكل صحيح؟
الخيارات:
أ) كنت متشوق لرؤية الأصدقاء
ب) عندما حاول يتطفل على محارم أحدهم، قال: إنتخشوا عينك
ج) أستمتع بأجواء العيد
د) كانت الأمطار غزيرة في الصباح",ب
قصعة تشيلك,فصعة تشيلك : تمني الحظ السيء أن يصيبك أو ان ينتهي ماتتمناه بالفشل. وتقال رداً على الرفض وعند القهر.,Central,"المهمة: حدد الاستخدام الصحيح لعبارة 'قصعة تشيلك'.
السؤال: في أي سياق يمكن استخدام عبارة 'قصعة تشيلك'؟
الخيارات:
أ) بعد الفوز في مسابقة
ب) عند التعرض للرفض
ج) عند تلقي هدية
د) أثناء الدعاء",ب
قطعي شطاياه بالمطرق,تعني ايتها الأم اضربي ابنك بالعصا على مؤخرته (اردافه) بالعصا (الخيزران) كعقاب له لتأديبه و هي نصيحة متداولة بين الامهات التحديات في السعودية,Central,"المهمة: اختر السياق المناسب لاستخدام عبارة 'قطعي شطاياه بالمطرق'.
السؤال: في أي سياق يمكن استخدام العبارة 'قطعي شطاياه بالمطرق'؟
الخيارات:
أ) عند اللعب مع الأطفال
ب) عند توبيخ الطفل على تصرف خاطئ
ج) عند مساعدة الطفل في الدراسة
د) عند الاحتفال بعيد ميلاد الطفل",ب
قعيطي,الشخص البخيل,Central,"المهمة: اختيار الجملة الصحيحة التي تستخدم كلمة 'قعيطي'.
السؤال: أي من الجمل التالية تستخدم كلمة 'قعيطي' بشكل صحيح؟
الخيارات:
أ) محمد قعيطي ويحب المساعدة.
ب) فهد دائماً قعيطي حتى بالشهر.
ج) سارة قعيطي وتعطي نصائح.
د) عادل قعيطي ويشتري كل شيء.",ب
قل تم,وافق على ماطلبت! ويرد الموافق على الطلب بتم اي تم مطلبك ووصلت لغايتك,General,"المهمة: اختر الجملة الصحيحة التي تستخدم فيها العبارة.
السؤال: أي من الجمل التالية تُظهر استخدام العبارة 'قل تم'؟
الخيارات:
أ) أنا مشغول الآن.
ب) أمورك تمام، قل تم.
ج) لا أفكر في ذلك.
د) سأرى الموضوع لاحقاً.",ب
قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!,تصريفة لتصريف الشخص منك وتقال عندما تكون في جو مباراة كرة القدم ويحاول احدهم ان يأخذ محلك!,Western,"المهمة: حدد السياق الصحيح لاستخدام هذا التعبير.
السؤال: في أي سياق يُستخدم التعبير 'قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!'؟
الخيارات:
أ) أثناء تنافس رياضي
ب) في مناقشة علمية
ج) في مناسبة اجتماعية
د) أثناء التفاوض التجاري",أ
قلعة وادرين,أي قي مكان بعيد جدا,Northern,"المهمة: اختر السياق الذي يمكن استخدام عبارة 'قلعة وادرين' فيه بشكل صحيح.
السؤال: في أي سياق يمكن أن تقول: 'لا وش يودينا لقلعة وادرين'؟
الخيارات:
أ) عند الحديث عن الرحلات
ب) عند الذهاب للتسوق
ج) عند مشاهدة فيلم
د) عند تناول الطعام",أ
قليل الخاتمة,صفة يتصف بها الوقح الحقير.,Central,"المهمة: اختر الجملة الصحيحة التي تحتوي على العبارة 'قليل الخاتمة'.
السؤال: أي من الجمل التالية تستخدم 'قليل الخاتمة' بشكل صحيح؟
الخيارات:
أ) يُعتبر أقلّ الخاتمة في المجتمع.
ب) ألا يا قليل الخاتمة.
ج) هو شخص قليل الخاتمة.
د) كان المكان قليل الخاتمة.",ب
يبرز به,يقوله له كلام خاص او سر,Southern,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (يبرز به) استخدامًا صحيحًا؟
الخيارات:
أ) خلّه لحاله وببرز به بعدين
ب) يبرز به في التقرير النهائي
ج) يبرز به أثناء كتابة البحث
د) يبرز به في الخطاب الرسمي",أ
كاسر اللمبة,هي صفة تطلق على الشخص الضايع الذي لا يهتم للعواقب.,General,"المهمة: اختر السياق الصحيح لاستخدام العبارة.
السؤال: في أي جملة يمكننا استخدام العبارة 'كاسر اللمبة' بشكل صحيح؟
الخيارات:
أ) فهد دائماً يخطط لمستقبله.
ب) خالد، كاسر اللمبة، يسير بلا هدف.
ج) ليلى تحب قراءة الكتب.
د) أحمد يدير عمله بنجاح.",ب
كان بمسمع منك,هذا التعبير يستخدم اذا كان الرجل قريبا ويسع له السماعة بالسهولة,Western,"المهمة: اختيار العبارة الأنسب للاستخدام في سياق معين.
السؤال: اختر الجملة التي تحتوي على التعبير 'كان بمسمع منك'.
الخيارات:
أ) كنت في الصف عندما قال لي المعلم.
ب) تحدثت مع صديقي في السراء ولكن كان أبي بمسمع مني.
ج) كانت الغرفة مظلمة وشعرنا بالوحدة.
د) كنت أقرأ في المكتبة.",ب
كاي,تعني شيئ مضحك، و قد تستخدم كصفة أيضا.,Western,"المهمة: اختر الأسلوب الأنسب لاستخدام كلمة 'كاي'.
السؤال: أي من الجمل التالية تستخدم 'كاي' بشكل صحيح؟
الخيارات:
أ) هو دايم كاي في المزاح
ب) لا أحد يحب الكاي
ج) الطعام كان كاي
د) الجو كان كاي",أ
كبر البعير,بمعنى كبير الحجم,Central,"المهمة: اختر الاستخدام الصحيح للعبارة في سياق مناسب.
السؤال: في أي سياق يمكن استخدام العبارة 'كبر البعير'؟
الخيارات:
أ) عند وصف شخص نحيف
ب) عند التحدث عن جمل أثناء السفر
ج) عند وصف سيارة ضعيفة
د) عند الحديث عن مباني عادية",ب
كبر المخدة,اي انه يجهز في النوم و فإنة يغط في سبات عمييق,Western,"المهمة: حدد الاستخدام الصحيح لعبارة 'كبر المخدة' في سياق الحديث.
السؤال: كيف تستخدم عبارة 'كبر المخدة' في الجملة التالية: 'بعد العشاء، قرر أبو سليمان أن ___ ليأخذ قيلولة.'؟
الخيارات:
أ) يدعو الأصدقاء
ب) يكبر المخدة
ج) يشاهد التلفاز
د) يخرج للحديث مع الجيران",ب
كبس,بمعني راح تاكل تراب,Western,"المهمة: اختر الجملة التي تُستخدم فيها الكلمة 'كبس' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'كبس' بشكل صحيح؟
الخيارات:
أ) أنا أحب كبس الشاي
ب) قال لي لو كبس لحالك بكره
ج) هو كبس على الزر
د) نحتفل بكبس العيد",ب
كبيت العشا,عندما تتحدث بأمر من المفترض أن لا تتحدث عنه . أي أنك أفشيت سراً من غير قصد فكبيت العشا.,General,"المهمة: حدد معنى الجملة في سياق الحديث.
السؤال: ماذا يعني 'كبيت العشا' في الحوار بين أبو صالح وأبو علي؟
الخيارات:
أ) أفشى سراً
ب) لم يشرب القهوة
ج) تأخر على العشاء
د) لم يستطع التحدث",أ
في قلب العدو,تقال عند ذكر أمر سيء,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (في قلب العدو) استخدامًا صحيحًا؟
الخيارات:
أ) المرض هذا في قلب العدو
ب) في قلب العدو أثناء الاجتماع
ج) في قلب العدو في التقرير
د) في قلب العدو في البحث العلمي",أ
كريم عين,وصف مؤدب للشخص الأعور (الذي فقد إحدى عينيه),Central,"المهمة: اختر الاستخدام الصحيح لعبارة 'كريم عين' في السياق.
السؤال: كيف يمكن استخدام عبارة 'كريم عين' بشكل صحيح في جملة؟
الخيارات:
أ) أهلهم عزمونا للغدا، وطلبوا كريم عين يتوفر حلاوة
ب) الولد المدرب يتعلم فنون الرياضة بشكل جيد
ج) أبو سليمان كريم عين وقلبه طيب
د) الحي كان هادئ والمطر ينزل بهدوء",ج
كسر عين,كسر عين: عبارة مهينة تستخدم للحط من قدر شخصاً ما. ,Central,"المهمة: اختر المثال الذي يُظهر الاستخدام الصحيح لعبارة 'كسر عين'.
السؤال: أي من الجمل التالية تستخدم 'كسر عين' بشكل صحيح؟
الخيارات:
أ) فلان كسر عين علان لأنه لم يساعده.
ب) أحببت كسر عين الحلوى.
ج) كسر عين زميلي لأنه فضح سرّي.
د) نحن نخطط لرحلة جميلة في كسر عين.",ج
كفو/ قدر,كفو/ قدر= تعني حجم الشخص ومقداره الأجتماعي، وتشبيه بالأشياء. وبالمثال يتضح المقال، طالع الأمثلة.,Central,"المهمة: اختر الجملة التي تعبر عن الاستخدام الصحيح لعبارة 'كفو/ قدر'.
السؤال: أي من الجمل التالية تستخدم 'كفو/ قدر' بشكل صحيح؟
الخيارات:
أ) هالشخص كفو في عمله
ب) الجو كفو اليوم
ج) الدحوم قدر في القياسات
د) الكتاب كفو ومفيد",أ
كل تبن,تعني أسكت ولا تتكلم . والتبن هو الشسمه,General,"المهمة: حدد السياق الصحيح لاستخدام عبارة 'كل تبن'.
السؤال: في أي حالة تُستخدم عبارة 'كل تبن' بشكل شائع؟
الخيارات:
أ) أثناء الغضب
ب) عند طلب الطعام
ج) عندما يُطلب من شخص أن يسكت
د) في محادثة ودية",ج
كل واحد يصلح سيارته,كل شخص يتنازل عن حقه ( سواء مشكلة أو خلاف ),General,"المهمة: اختر الجملة التي تبرز الاستخدام الصحيح للعبارة.
السؤال: أي من الجمل التالية تعبر عن معنى 'كل واحد يصلح سيارته'?
الخيارات:
أ) نحتاج أن نتحد لحل مشاكلنا.
ب) الله يستر من الواسطات.
ج) خلاص يا جماعة معليش كل واحد يصلح سيارته.
د) علي أن أشتري سيارة جديدة.",ج
أوَّل أمس,كلمة قطيفية، وتعني اليوم الذي يسبِقُ الأمسَ,General,"المهمة: اختر الجملة المناسبة التي يستخدم فيها كلمة 'أوَّل أمس'.
السؤال: أي من الجمل التالية تستخدم كلمة 'أوَّل أمس' بشكل صحيح؟
الخيارات:
أ) في أول أمس، كنت مشغول
ب) أول أمس ذهبت إلى السوق
ج) سأذهب غداً إلى الحفلة
د) كل أمس كان جميل",ب
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: اختر الاستخدام المناسب لكلمة 'كلجة' في الجملة.
السؤال: في أي حالة يمكن استخدام كلمة 'كلجة'؟
الخيارات:
أ) للتعبير عن الحب
ب) عند الاستهزاء بطريقة الكلام
ج) في وصف الطقس
د) عند الحديث عن الفنون",ب
كلما طقيتها صارت عوجاء,تعني أن المشكلات تواجه كلما حاول التقدم أوإصابة الهدف فيتراجع إلى الوراء رغم المحاولة في التقدم أو أصابة الهدف فلابد من الميل عنه,Central,"المهمة: اختر الجملة التي تستخدم العبارة بشكل صحيح.
السؤال: أي جملة أدناه تستخدم 'كلما طقيتها صارت عوجاء' بشكل صحيح؟
الخيارات:
أ) قررت أن أدرس أكثر نظراً لأنه كلما طقيتها صارت عوجاء
ب) أحب أن أذهب للسوق معي
ج) هذا هو أفضل يوم في المدرسة
د) كانت الرحلة ممتعة جداً
الإجابة الصحيحة:",
كن أبوك,تهديد بأن لا يفعل أمر ما ( بمعنى يا ويلك ),Central,"المهمة: اختر الجملة الأكثر ملاءمة للاستخدام العبارة.
السؤال: في أي سياق يُستخدم التعبير 'كن أبوك'؟
الخيارات:
أ) عندما ترغب في التهيئة لإخبار شيء مهم
ب) عندما تريد أن تثير حذر شخص ما
ج) عندما تطلب من شخص ما التقدم بشيء
د) عندما تبارك شخص ما",ب
